n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,10.0000,[0.0000 0.0000 ],[-5.0000 5.0000 ],7.0711,[5.0000 -5.0000 ],7.0711,0.0025,1.0000,0.0100
2,9.8756,[-0.0125 0.0125 ],[-9.8505 9.8505 ],13.9307,[4.9500 -4.9500 ],7.0004,0.0025,1.0000,0.0100
3,9.6343,[-0.0371 0.0371 ],[-4.8515 4.8515 ],6.8611,[4.8515 -4.8515 ],6.8611,0.0025,1.0000,0.0100
4,9.5172,[-0.0493 0.0493 ],[-9.5579 9.5579 ],13.5170,[4.8030 -4.8030 ],6.7924,0.0025,1.0000,0.0100
5,9.2899,[-0.0731 0.0731 ],[-4.7074 4.7074 ],6.6573,[4.7074 -4.7074 ],6.6573,0.0025,1.0000,0.0100
6,9.1797,[-0.0849 0.0849 ],[-9.2741 9.2741 ],13.1155,[4.6603 -4.6603 ],6.5907,0.0025,1.0000,0.0100
7,8.9657,[-0.1081 0.1081 ],[-4.5676 4.5676 ],6.4595,[4.5676 -4.5676 ],6.4595,0.0025,1.0000,0.0100
8,8.8619,[-0.1195 0.1195 ],[-8.9986 8.9986 ],12.7259,[4.5219 -4.5219 ],6.3949,0.0025,1.0000,0.0100
9,8.6605,[-0.1420 0.1420 ],[-4.4319 4.4319 ],6.2677,[4.4319 -4.4319 ],6.2677,0.0025,1.0000,0.0100
10,8.5628,[-0.1531 0.1531 ],[-8.7313 8.7313 ],12.3480,[4.3876 -4.3876 ],6.2050,0.0025,1.0000,0.0100
11,8.3731,[-0.1749 0.1749 ],[-4.3003 4.3003 ],6.0815,[4.3003 -4.3003 ],6.0815,0.0025,1.0000,0.0100
12,8.2811,[-0.1857 0.1857 ],[-8.4720 8.4720 ],11.9812,[4.2573 -4.2573 ],6.0207,0.0025,1.0000,0.0100
13,8.1026,[-0.2069 0.2069 ],[-4.1726 4.1726 ],5.9009,[4.1726 -4.1726 ],5.9009,0.0025,1.0000,0.0100
14,8.0160,[-0.2173 0.2173 ],[-8.2204 8.2204 ],11.6254,[4.1308 -4.1308 ],5.8419,0.0025,1.0000,0.0100
15,7.8479,[-0.2378 0.2378 ],[-4.0486 4.0486 ],5.7256,[4.0486 -4.0486 ],5.7256,0.0025,1.0000,0.0100
16,7.7663,[-0.2480 0.2480 ],[-7.9762 7.9762 ],11.2801,[4.0082 -4.0082 ],5.6684,0.0025,1.0000,0.0100
17,7.6081,[-0.2679 0.2679 ],[-3.9284 3.9284 ],5.5556,[3.9284 -3.9284 ],5.5556,0.0025,1.0000,0.0100
18,7.5313,[-0.2777 0.2777 ],[-7.7393 7.7393 ],10.9451,[3.8891 -3.8891 ],5.5000,0.0025,1.0000,0.0100
19,7.3823,[-0.2971 0.2971 ],[-3.8117 3.8117 ],5.3906,[3.8117 -3.8117 ],5.3906,0.0025,1.0000,0.0100
20,7.3100,[-0.3066 0.3066 ],[-7.5095 7.5095 ],10.6200,[3.7736 -3.7736 ],5.3367,0.0025,1.0000,0.0100
21,7.1697,[-0.3254 0.3254 ],[-3.6985 3.6985 ],5.2305,[3.6985 -3.6985 ],5.2305,0.0025,1.0000,0.0100
22,7.1017,[-0.3346 0.3346 ],[-7.2864 7.2864 ],10.3046,[3.6615 -3.6615 ],5.1782,0.0025,1.0000,0.0100
23,6.9696,[-0.3528 0.3528 ],[-3.5887 3.5887 ],5.0751,[3.5887 -3.5887 ],5.0751,0.0025,1.0000,0.0100
24,6.9055,[-0.3618 0.3618 ],[-7.0700 7.0700 ],9.9985,[3.5528 -3.5528 ],5.0244,0.0025,1.0000,0.0100
25,6.7812,[-0.3795 0.3795 ],[-3.4821 3.4821 ],4.9244,[3.4821 -3.4821 ],4.9244,0.0025,1.0000,0.0100
26,6.7209,[-0.3882 0.3882 ],[-6.8600 6.8600 ],9.7015,[3.4472 -3.4472 ],4.8751,0.0025,1.0000,0.0100
27,6.6038,[-0.4053 0.4053 ],[-3.3786 3.3786 ],4.7781,[3.3786 -3.3786 ],4.7781,0.0025,1.0000,0.0100
28,6.5470,[-0.4138 0.4138 ],[-6.6563 6.6563 ],9.4134,[3.3449 -3.3449 ],4.7303,0.0025,1.0000,0.0100
29,6.4368,[-0.4304 0.4304 ],[-3.2783 3.2783 ],4.6362,[3.2783 -3.2783 ],4.6362,0.0025,1.0000,0.0100
30,6.3833,[-0.4386 0.4386 ],[-6.4586 6.4586 ],9.1338,[3.2455 -3.2455 ],4.5898,0.0025,1.0000,0.0100
31,6.2796,[-0.4548 0.4548 ],[-3.1809 3.1809 ],4.4985,[3.1809 -3.1809 ],4.4985,0.0025,1.0000,0.0100
32,6.2292,[-0.4627 0.4627 ],[-6.2667 6.2667 ],8.8625,[3.1491 -3.1491 ],4.4535,0.0025,1.0000,0.0100
33,6.1315,[-0.4784 0.4784 ],[-3.0865 3.0865 ],4.3649,[3.0865 -3.0865 ],4.3649,0.0025,1.0000,0.0100
34,6.0842,[-0.4861 0.4861 ],[-6.0806 6.0806 ],8.5993,[3.0556 -3.0556 ],4.3213,0.0025,1.0000,0.0100
35,5.9922,[-0.5013 0.5013 ],[-2.9948 2.9948 ],4.2353,[2.9948 -2.9948 ],4.2353,0.0025,1.0000,0.0100
36,5.9476,[-0.5088 0.5088 ],[-5.9000 5.9000 ],8.3439,[2.9648 -2.9648 ],4.1929,0.0025,1.0000,0.0100
37,5.8610,[-0.5235 0.5235 ],[-2.9058 2.9058 ],4.1095,[2.9058 -2.9058 ],4.1095,0.0025,1.0000,0.0100
