n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
38,5.8190,[-0.5308 0.5308 ],[-5.7248 5.7248 ],8.0961,[2.8768 -2.8768 ],4.0684,0.0025,1.0000,0.0100
39,5.7374,[-0.5451 0.5451 ],[-2.8195 2.8195 ],3.9874,[2.8195 -2.8195 ],3.9874,0.0025,1.0000,0.0100
40,5.6979,[-0.5522 0.5522 ],[-5.5547 5.5547 ],7.8556,[2.7913 -2.7913 ],3.9475,0.0025,1.0000,0.0100
41,5.6211,[-0.5661 0.5661 ],[-2.7358 2.7358 ],3.8690,[2.7358 -2.7358 ],3.8690,0.0025,1.0000,0.0100
42,5.5839,[-0.5729 0.5729 ],[-5.3898 5.3898 ],7.6223,[2.7084 -2.7084 ],3.8303,0.0025,1.0000,0.0100
43,5.5116,[-0.5864 0.5864 ],[-2.6545 2.6545 ],3.7541,[2.6545 -2.6545 ],3.7541,0.0025,1.0000,0.0100
44,5.4766,[-0.5930 0.5930 ],[-5.2297 5.2297 ],7.3959,[2.6280 -2.6280 ],3.7165,0.0025,1.0000,0.0100
45,5.4085,[-0.6061 0.6061 ],[-2.5757 2.5757 ],3.6426,[2.5757 -2.5757 ],3.6426,0.0025,1.0000,0.0100
46,5.3755,[-0.6125 0.6125 ],[-5.0744 5.0744 ],7.1762,[2.5499 -2.5499 ],3.6061,0.0025,1.0000,0.0100
47,5.3115,[-0.6252 0.6252 ],[-2.4992 2.4992 ],3.5344,[2.4992 -2.4992 ],3.5344,0.0025,1.0000,0.0100
48,5.2804,[-0.6315 0.6315 ],[-4.9236 4.9236 ],6.9631,[2.4742 -2.4742 ],3.4990,0.0025,1.0000,0.0100
49,5.2201,[-0.6438 0.6438 ],[-2.4250 2.4250 ],3.4294,[2.4250 -2.4250 ],3.4294,0.0025,1.0000,0.0100
50,5.1908,[-0.6498 0.6498 ],[-4.7774 4.7774 ],6.7563,[2.4007 -2.4007 ],3.3951,0.0025,1.0000,0.0100
51,5.1341,[-0.6618 0.6618 ],[-2.3529 2.3529 ],3.3276,[2.3529 -2.3529 ],3.3276,0.0025,1.0000,0.0100
52,5.1065,[-0.6676 0.6676 ],[-4.6355 4.6355 ],6.5556,[2.3294 -2.3294 ],3.2943,0.0025,1.0000,0.0100
53,5.0531,[-0.6792 0.6792 ],[-2.2830 2.2830 ],3.2287,[2.2830 -2.2830 ],3.2287,0.0025,1.0000,0.0100
54,5.0271,[-0.6849 0.6849 ],[-4.4978 4.4978 ],6.3609,[2.2602 -2.2602 ],3.1964,0.0025,1.0000,0.0100
55,4.9768,[-0.6962 0.6962 ],[-2.2152 2.2152 ],3.1328,[2.2152 -2.2152 ],3.1328,0.0025,1.0000,0.0100
56,4.9524,[-0.7017 0.7017 ],[-4.3642 4.3642 ],6.1720,[2.1931 -2.1931 ],3.1015,0.0025,1.0000,0.0100
57,4.9050,[-0.7126 0.7126 ],[-2.1494 2.1494 ],3.0398,[2.1494 -2.1494 ],3.0398,0.0025,1.0000,0.0100
58,4.8820,[-0.7180 0.7180 ],[-4.2346 4.2346 ],5.9887,[2.1280 -2.1280 ],3.0094,0.0025,1.0000,0.0100
59,4.8374,[-0.7286 0.7286 ],[-2.0856 2.0856 ],2.9495,[2.0856 -2.0856 ],2.9495,0.0025,1.0000,0.0100
60,4.8158,[-0.7338 0.7338 ],[-4.1088 4.1088 ],5.8108,[2.0647 -2.0647 ],2.9200,0.0025,1.0000,0.0100
61,4.7738,[-0.7441 0.7441 ],[-2.0237 2.0237 ],2.8619,[2.0237 -2.0237 ],2.8619,0.0025,1.0000,0.0100
62,4.7534,[-0.7491 0.7491 ],[-3.9868 3.9868 ],5.6382,[2.0034 -2.0034 ],2.8333,0.0025,1.0000,0.0100
63,4.7139,[-0.7591 0.7591 ],[-1.9636 1.9636 ],2.7769,[1.9636 -1.9636 ],2.7769,0.0025,1.0000,0.0100
64,4.6947,[-0.7640 0.7640 ],[-3.8684 3.8684 ],5.4707,[1.9439 -1.9439 ],2.7491,0.0025,1.0000,0.0100
65,4.6575,[-0.7737 0.7737 ],[-1.9052 1.9052 ],2.6944,[1.9052 -1.9052 ],2.6944,0.0025,1.0000,0.0100
66,4.6394,[-0.7785 0.7785 ],[-3.7535 3.7535 ],5.3083,[1.8862 -1.8862 ],2.6675,0.0025,1.0000,0.0100
67,4.6044,[-0.7878 0.7878 ],[-1.8486 1.8486 ],2.6144,[1.8486 -1.8486 ],2.6144,0.0025,1.0000,0.0100
68,4.5874,[-0.7925 0.7925 ],[-3.6420 3.6420 ],5.1506,[1.8302 -1.8302 ],2.5882,0.0025,1.0000,0.0100
69,4.5544,[-0.8016 0.8016 ],[-1.7937 1.7937 ],2.5367,[1.7937 -1.7937 ],2.5367,0.0025,1.0000,0.0100
70,4.5384,[-0.8060 0.8060 ],[-3.5339 3.5339 ],4.9976,[1.7758 -1.7758 ],2.5114,0.0025,1.0000,0.0100
71,4.5073,[-0.8149 0.8149 ],[-1.7405 1.7405 ],2.4614,[1.7405 -1.7405 ],2.4614,0.0025,1.0000,0.0100
72,4.4922,[-0.8192 0.8192 ],[-3.4289 3.4289 ],4.8492,[1.7231 -1.7231 ],2.4368,0.0025,1.0000,0.0100
73,4.4630,[-0.8278 0.8278 ],[-1.6888 1.6888 ],2.3883,[1.6888 -1.6888 ],2.3883,0.0025,1.0000,0.0100
74,4.4488,[-0.8320 0.8320 ],[-3.3270 3.3270 ],4.7052,[1.6719 -1.6719 ],2.3644,0.0025,1.0000,0.0100
75,4.4213,[-0.8403 0.8403 ],[-1.6386 1.6386 ],2.3173,[1.6386 -1.6386 ],2.3173,0.0025,1.0000,0.0100
76,4.4079,[-0.8444 0.8444 ],[-3.2282 3.2282 ],4.5654,[1.6222 -1.6222 ],2.2942,0.0025,1.0000,0.0100
77,4.3820,[-0.8525 0.8525 ],[-1.5899 1.5899 ],2.2485,[1.5899 -1.5899 ],2.2485,0.0025,1.0000,0.0100
78,4.3694,[-0.8565 0.8565 ],[-3.1324 3.1324 ],4.4298,[1.5740 -1.5740 ],2.2260,0.0025,1.0000,0.0100
79,4.3450,[-0.8643 0.8643 ],[-1.5427 1.5427 ],2.1817,[1.5427 -1.5427 ],2.1817,0.0025,1.0000,0.0100
80,4.3332,[-0.8682 0.8682 ],[-3.0393 3.0393 ],4.2982,[1.5273 -1.5273 ],2.1599,0.0025,1.0000,0.0100
81,4.3102,[-0.8758 0.8758 ],[-1.4969 1.4969 ],2.1169,[1.4969 -1.4969 ],2.1169,0.0025,1.0000,0.0100
82,4.2990,[-0.8795 0.8795 ],[-2.9490 2.9490 ],4.1706,[1.4819 -1.4819 ],2.0958,0.0025,1.0000,0.0100
83,4.2774,[-0.8869 0.8869 ],[-1.4524 1.4524 ],2.0541,[1.4524 -1.4524 ],2.0541,0.0025,1.0000,0.0100
84,4.2669,[-0.8905 0.8905 ],[-2.8615 2.8615 ],4.0467,[1.4379 -1.4379 ],2.0335,0.0025,1.0000,0.0100
85,4.2465,[-0.8977 0.8977 ],[-1.4093 1.4093 ],1.9931,[1.4093 -1.4093 ],1.9931,0.0025,1.0000,0.0100
86,4.2367,[-0.9012 0.9012 ],[-2.7765 2.7765 ],3.9265,[1.3952 -1.3952 ],1.9731,0.0025,1.0000,0.0100
87,4.2175,[-0.9081 0.9081 ],[-1.3674 1.3674 ],1.9339,[1.3674 -1.3674 ],1.9339,0.0025,1.0000,0.0100
88,4.2082,[-0.9116 0.9116 ],[-2.6940 2.6940 ],3.8099,[1.3538 -1.3538 ],1.9145,0.0025,1.0000,0.0100
89,4.1901,[-0.9183 0.9183 ],[-1.3268 1.3268 ],1.8764,[1.3268 -1.3268 ],1.8764,0.0025,1.0000,0.0100
90,4.1814,[-0.9216 0.9216 ],[-2.6140 2.6140 ],3.6967,[1.3136 -1.3136 ],1.8577,0.0025,1.0000,0.0100
91,4.1644,[-0.9281 0.9281 ],[-1.2874 1.2874 ],1.8207,[1.2874 -1.2874 ],1.8207,0.0025,1.0000,0.0100
92,4.1561,[-0.9314 0.9314 ],[-2.5364 2.5364 ],3.5869,[1.2745 -1.2745 ],1.8025,0.0025,1.0000,0.0100
93,4.1401,[-0.9377 0.9377 ],[-1.2492 1.2492 ],1.7666,[1.2492 -1.2492 ],1.7666,0.0025,1.0000,0.0100
94,4.1324,[-0.9408 0.9408 ],[-2.4610 2.4610 ],3.4804,[1.2367 -1.2367 ],1.7489,0.0025,1.0000,0.0100
95,4.1173,[-0.9470 0.9470 ],[-1.2121 1.2121 ],1.7141,[1.2121 -1.2121 ],1.7141,0.0025,1.0000,0.0100
96,4.1100,[-0.9500 0.9500 ],[-2.3879 2.3879 ],3.3770,[1.2000 -1.2000 ],1.6970,0.0025,1.0000,0.0100
97,4.0958,[-0.9560 0.9560 ],[-1.1761 1.1761 ],1.6632,[1.1761 -1.1761 ],1.6632,0.0025,1.0000,0.0100
98,4.0889,[-0.9589 0.9589 ],[-2.3170 2.3170 ],3.2767,[1.1643 -1.1643 ],1.6466,0.0025,1.0000,0.0100
99,4.0756,[-0.9647 0.9647 ],[-1.1412 1.1412 ],1.6138,[1.1412 -1.1412 ],1.6138,0.0025,1.0000,0.0100
100,4.0691,[-0.9676 0.9676 ],[-2.2482 2.2482 ],3.1794,[1.1297 -1.1297 ],1.5977,0.0025,1.0000,0.0100
101,4.0565,[-0.9732 0.9732 ],[-1.1073 1.1073 ],1.5659,[1.1073 -1.1073 ],1.5659,0.0025,1.0000,0.0100
102,4.0504,[-0.9760 0.9760 ],[-2.1814 2.1814 ],3.0850,[1.0962 -1.0962 ],1.5502,0.0025,1.0000,0.0100
103,4.0386,[-0.9814 0.9814 ],[-1.0744 1.0744 ],1.5194,[1.0744 -1.0744 ],1.5194,0.0025,1.0000,0.0100
104,4.0328,[-0.9841 0.9841 ],[-2.1166 2.1166 ],2.9934,[1.0636 -1.0636 ],1.5042,0.0025,1.0000,0.0100
105,4.0217,[-0.9894 0.9894 ],[-1.0425 1.0425 ],1.4743,[1.0425 -1.0425 ],1.4743,0.0025,1.0000,0.0100
106,4.0163,[-0.9920 0.9920 ],[-2.0538 2.0538 ],2.9044,[1.0320 -1.0320 ],1.4595,0.0025,1.0000,0.0100
107,4.0058,[-0.9971 0.9971 ],[-1.0115 1.0115 ],1.4305,[1.0115 -1.0115 ],1.4305,0.0025,1.0000,0.0100
108,4.0007,[-0.9997 0.9997 ],[-1.9928 1.9928 ],2.8182,[1.0014 -1.0014 ],1.4162,0.0025,1.0000,0.0100
109,3.9908,[-1.0046 1.0046 ],[-0.9815 0.9815 ],1.3880,[0.9815 -0.9815 ],1.3880,0.0025,1.0000,0.0100
110,3.9860,[-1.0071 1.0071 ],[-1.9336 1.9336 ],2.7345,[0.9716 -0.9716 ],1.3741,0.0025,1.0000,0.0100
111,3.9767,[-1.0119 1.0119 ],[-0.9523 0.9523 ],1.3468,[0.9523 -0.9523 ],1.3468,0.0025,1.0000,0.0100
112,3.9722,[-1.0143 1.0143 ],[-1.8761 1.8761 ],2.6533,[0.9428 -0.9428 ],1.3333,0.0025,1.0000,0.0100
113,3.9635,[-1.0190 1.0190 ],[-0.9240 0.9240 ],1.3068,[0.9240 -0.9240 ],1.3068,0.0025,1.0000,0.0100
114,3.9592,[-1.0213 1.0213 ],[-1.8204 1.8204 ],2.5745,[0.9148 -0.9148 ],1.2937,0.0025,1.0000,0.0100
115,3.9510,[-1.0259 1.0259 ],[-0.8966 0.8966 ],1.2680,[0.8966 -0.8966 ],1.2680,0.0025,1.0000,0.0100
116,3.9470,[-1.0281 1.0281 ],[-1.7663 1.7663 ],2.4980,[0.8876 -0.8876 ],1.2553,0.0025,1.0000,0.0100
117,3.9392,[-1.0325 1.0325 ],[-0.8699 0.8699 ],1.2303,[0.8699 -0.8699 ],1.2303,0.0025,1.0000,0.0100
118,3.9354,[-1.0347 1.0347 ],[-1.7139 1.7139 ],2.4238,[0.8612 -0.8612 ],1.2180,0.0025,1.0000,0.0100
119,3.9281,[-1.0390 1.0390 ],[-0.8441 0.8441 ],1.1938,[0.8441 -0.8441 ],1.1938,0.0025,1.0000,0.0100
120,3.9246,[-1.0411 1.0411 ],[-1.6630 1.6630 ],2.3518,[0.8357 -0.8357 ],1.1818,0.0025,1.0000,0.0100
121,3.9177,[-1.0452 1.0452 ],[-0.8190 0.8190 ],1.1583,[0.8190 -0.8190 ],1.1583,0.0025,1.0000,0.0100
122,3.9144,[-1.0473 1.0473 ],[-1.6136 1.6136 ],2.2820,[0.8108 -0.8108 ],1.1467,0.0025,1.0000,0.0100
123,3.9079,[-1.0513 1.0513 ],[-0.7947 0.7947 ],1.1239,[0.7947 -0.7947 ],1.1239,0.0025,1.0000,0.0100
124,3.9048,[-1.0533 1.0533 ],[-1.5657 1.5657 ],2.2142,[0.7868 -0.7868 ],1.1127,0.0025,1.0000,0.0100
125,3.8987,[-1.0572 1.0572 ],[-0.7711 0.7711 ],1.0905,[0.7711 -0.7711 ],1.0905,0.0025,1.0000,0.0100
126,3.8957,[-1.0592 1.0592 ],[-1.5192 1.5192 ],2.1484,[0.7634 -0.7634 ],1.0796,0.0025,1.0000,0.0100
127,3.8900,[-1.0629 1.0629 ],[-0.7482 0.7482 ],1.0581,[0.7482 -0.7482 ],1.0581,0.0025,1.0000,0.0100
128,3.8872,[-1.0648 1.0648 ],[-1.4740 1.4740 ],2.0846,[0.7407 -0.7407 ],1.0475,0.0025,1.0000,0.0100
129,3.8818,[-1.0685 1.0685 ],[-0.7260 0.7260 ],1.0267,[0.7260 -0.7260 ],1.0267,0.0025,1.0000,0.0100
130,3.8791,[-1.0703 1.0703 ],[-1.4303 1.4303 ],2.0227,[0.7187 -0.7187 ],1.0164,0.0025,1.0000,0.0100
131,3.8741,[-1.0739 1.0739 ],[-0.7044 0.7044 ],0.9962,[0.7044 -0.7044 ],0.9962,0.0025,1.0000,0.0100
132,3.8716,[-1.0757 1.0757 ],[-1.3878 1.3878 ],1.9626,[0.6974 -0.6974 ],0.9862,0.0025,1.0000,0.0100
133,3.8668,[-1.0791 1.0791 ],[-0.6835 0.6835 ],0.9666,[0.6835 -0.6835 ],0.9666,0.0025,1.0000,0.0100
134,3.8645,[-1.0808 1.0808 ],[-1.3466 1.3466 ],1.9043,[0.6767 -0.6767 ],0.9569,0.0025,1.0000,0.0100
135,3.8600,[-1.0842 1.0842 ],[-0.6632 0.6632 ],0.9379,[0.6632 -0.6632 ],0.9379,0.0025,1.0000,0.0100
136,3.8578,[-1.0859 1.0859 ],[-1.3066 1.3066 ],1.8478,[0.6566 -0.6566 ],0.9285,0.0025,1.0000,0.0100
137,3.8535,[-1.0891 1.0891 ],[-0.6435 0.6435 ],0.9100,[0.6435 -0.6435 ],0.9100,0.0025,1.0000,0.0100
138,3.8515,[-1.0907 1.0907 ],[-1.2678 1.2678 ],1.7929,[0.6371 -0.6371 ],0.9009,0.0025,1.0000,0.0100
139,3.8475,[-1.0939 1.0939 ],[-0.6244 0.6244 ],0.8830,[0.6244 -0.6244 ],0.8830,0.0025,1.0000,0.0100
140,3.8455,[-1.0955 1.0955 ],[-1.2301 1.2301 ],1.7396,[0.6181 -0.6181 ],0.8742,0.0025,1.0000,0.0100
141,3.8418,[-1.0985 1.0985 ],[-0.6058 0.6058 ],0.8568,[0.6058 -0.6058 ],0.8568,0.0025,1.0000,0.0100
142,3.8399,[-1.1001 1.1001 ],[-1.1936 1.1936 ],1.6880,[0.5998 -0.5998 ],0.8482,0.0025,1.0000,0.0100
143,3.8364,[-1.1030 1.1030 ],[-0.5878 0.5878 ],0.8313,[0.5878 -0.5878 ],0.8313,0.0025,1.0000,0.0100
144,3.8347,[-1.1045 1.1045 ],[-1.1581 1.1581 ],1.6378,[0.5820 -0.5820 ],0.8230,0.0025,1.0000,0.0100
145,3.8313,[-1.1074 1.1074 ],[-0.5704 0.5704 ],0.8067,[0.5704 -0.5704 ],0.8067,0.0025,1.0000,0.0100
146,3.8297,[-1.1088 1.1088 ],[-1.1237 1.1237 ],1.5892,[0.5647 -0.5647 ],0.7986,0.0025,1.0000,0.0100
147,3.8266,[-1.1116 1.1116 ],[-0.5534 0.5534 ],0.7827,[0.5534 -0.5534 ],0.7827,0.0025,1.0000,0.0100
148,3.8251,[-1.1130 1.1130 ],[-1.0903 1.0903 ],1.5420,[0.5479 -0.5479 ],0.7749,0.0025,1.0000,0.0100
149,3.8221,[-1.1157 1.1157 ],[-0.5370 0.5370 ],0.7594,[0.5370 -0.5370 ],0.7594,0.0025,1.0000,0.0100
150,3.8207,[-1.1171 1.1171 ],[-1.0580 1.0580 ],1.4962,[0.5316 -0.5316 ],0.7519,0.0025,1.0000,0.0100
151,3.8179,[-1.1197 1.1197 ],[-0.5211 0.5211 ],0.7369,[0.5211 -0.5211 ],0.7369,0.0025,1.0000,0.0100
152,3.8165,[-1.1210 1.1210 ],[-1.0265 1.0265 ],1.4518,[0.5159 -0.5159 ],0.7295,0.0025,1.0000,0.0100
153,3.8139,[-1.1236 1.1236 ],[-0.5056 0.5056 ],0.7150,[0.5056 -0.5056 ],0.7150,0.0025,1.0000,0.0100
154,3.8126,[-1.1249 1.1249 ],[-0.9961 0.9961 ],1.4086,[0.5005 -0.5005 ],0.7079,0.0025,1.0000,0.0100
155,3.8102,[-1.1274 1.1274 ],[-0.4906 0.4906 ],0.6938,[0.4906 -0.4906 ],0.6938,0.0025,1.0000,0.0100
156,3.8090,[-1.1286 1.1286 ],[-0.9665 0.9665 ],1.3668,[0.4857 -0.4857 ],0.6868,0.0025,1.0000,0.0100
157,3.8066,[-1.1310 1.1310 ],[-0.4760 0.4760 ],0.6732,[0.4760 -0.4760 ],0.6732,0.0025,1.0000,0.0100
158,3.8055,[-1.1322 1.1322 ],[-0.9378 0.9378 ],1.3262,[0.4712 -0.4712 ],0.6664,0.0025,1.0000,0.0100
159,3.8033,[-1.1345 1.1345 ],[-0.4619 0.4619 ],0.6532,[0.4619 -0.4619 ],0.6532,0.0025,1.0000,0.0100
160,3.8023,[-1.1357 1.1357 ],[-0.9099 0.9099 ],1.2868,[0.4572 -0.4572 ],0.6466,0.0025,1.0000,0.0100
161,3.8002,[-1.1380 1.1380 ],[-0.4481 0.4481 ],0.6338,[0.4481 -0.4481 ],0.6338,0.0025,1.0000,0.0100
162,3.7992,[-1.1391 1.1391 ],[-0.8829 0.8829 ],1.2486,[0.4437 -0.4437 ],0.6274,0.0025,1.0000,0.0100
163,3.7973,[-1.1413 1.1413 ],[-0.4348 0.4348 ],0.6149,[0.4348 -0.4348 ],0.6149,0.0025,1.0000,0.0100
164,3.7963,[-1.1424 1.1424 ],[-0.8567 0.8567 ],1.2115,[0.4305 -0.4305 ],0.6088,0.0025,1.0000,0.0100
165,3.7945,[-1.1445 1.1445 ],[-0.4219 0.4219 ],0.5967,[0.4219 -0.4219 ],0.5967,0.0025,1.0000,0.0100
166,3.7936,[-1.1456 1.1456 ],[-0.8312 0.8312 ],1.1755,[0.4177 -0.4177 ],0.5907,0.0025,1.0000,0.0100
167,3.7919,[-1.1477 1.1477 ],[-0.4094 0.4094 ],0.5790,[0.4094 -0.4094 ],0.5790,0.0025,1.0000,0.0100
168,3.7911,[-1.1487 1.1487 ],[-0.8065 0.8065 ],1.1406,[0.4053 -0.4053 ],0.5732,0.0025,1.0000,0.0100
169,3.7894,[-1.1507 1.1507 ],[-0.3972 0.3972 ],0.5618,[0.3972 -0.3972 ],0.5618,0.0025,1.0000,0.0100
170,3.7887,[-1.1517 1.1517 ],[-0.7826 0.7826 ],1.1067,[0.3933 -0.3933 ],0.5561,0.0025,1.0000,0.0100
171,3.7871,[-1.1536 1.1536 ],[-0.3854 0.3854 ],0.5451,[0.3854 -0.3854 ],0.5451,0.0025,1.0000,0.0100
172,3.7864,[-1.1546 1.1546 ],[-0.7593 0.7593 ],1.0739,[0.3816 -0.3816 ],0.5396,0.0025,1.0000,0.0100
173,3.7850,[-1.1565 1.1565 ],[-0.3740 0.3740 ],0.5289,[0.3740 -0.3740 ],0.5289,0.0025,1.0000,0.0100
174,3.7843,[-1.1574 1.1574 ],[-0.7368 0.7368 ],1.0420,[0.3702 -0.3702 ],0.5236,0.0025,1.0000,0.0100
175,3.7829,[-1.1593 1.1593 ],[-0.3629 0.3629 ],0.5132,[0.3629 -0.3629 ],0.5132,0.0025,1.0000,0.0100
176,3.7823,[-1.1602 1.1602 ],[-0.7149 0.7149 ],1.0110,[0.3592 -0.3592 ],0.5080,0.0025,1.0000,0.0100
177,3.7810,[-1.1620 1.1620 ],[-0.3521 0.3521 ],0.4979,[0.3521 -0.3521 ],0.4979,0.0025,1.0000,0.0100
178,3.7804,[-1.1629 1.1629 ],[-0.6937 0.6937 ],0.9810,[0.3486 -0.3486 ],0.4930,0.0025,1.0000,0.0100
179,3.7792,[-1.1646 1.1646 ],[-0.3416 0.3416 ],0.4831,[0.3416 -0.3416 ],0.4831,0.0025,1.0000,0.0100
180,3.7786,[-1.1654 1.1654 ],[-0.6731 0.6731 ],0.9519,[0.3382 -0.3382 ],0.4783,0.0025,1.0000,0.0100
181,3.7775,[-1.1671 1.1671 ],[-0.3315 0.3315 ],0.4688,[0.3315 -0.3315 ],0.4688,0.0025,1.0000,0.0100
182,3.7769,[-1.1680 1.1680 ],[-0.6531 0.6531 ],0.9236,[0.3282 -0.3282 ],0.4641,0.0025,1.0000,0.0100
183,3.7759,[-1.1696 1.1696 ],[-0.3216 0.3216 ],0.4549,[0.3216 -0.3216 ],0.4549,0.0025,1.0000,0.0100
184,3.7753,[-1.1704 1.1704 ],[-0.6337 0.6337 ],0.8962,[0.3184 -0.3184 ],0.4503,0.0025,1.0000,0.0100
185,3.7744,[-1.1720 1.1720 ],[-0.3121 0.3121 ],0.4414,[0.3121 -0.3121 ],0.4414,0.0025,1.0000,0.0100
186,3.7739,[-1.1728 1.1728 ],[-0.6149 0.6149 ],0.8695,[0.3090 -0.3090 ],0.4370,0.0025,1.0000,0.0100
187,3.7729,[-1.1743 1.1743 ],[-0.3028 0.3028 ],0.4283,[0.3028 -0.3028 ],0.4283,0.0025,1.0000,0.0100
188,3.7725,[-1.1751 1.1751 ],[-0.5966 0.5966 ],0.8437,[0.2998 -0.2998 ],0.4240,0.0025,1.0000,0.0100
