n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
106,-75.8032,[3.2926 -3.3320 ],[0.0169 -0.0169 ],0.0239,[-6.7509 6.7509 ],9.5472,0.0025,128.0000,0.0100
107,-76.0299,[3.3095 -3.3488 ],[0.0167 -0.0167 ],0.0236,[-6.6834 6.6834 ],9.4517,0.0025,128.0000,0.0100
108,-76.2522,[3.3262 -3.3655 ],[0.0165 -0.0165 ],0.0234,[-6.6166 6.6166 ],9.3572,0.0025,128.0000,0.0100
109,-76.4700,[3.3427 -3.3821 ],[0.0164 -0.0164 ],0.0232,[-6.5504 6.5504 ],9.2636,0.0025,128.0000,0.0100
110,-76.6834,[3.3591 -3.3985 ],[0.0162 -0.0162 ],0.0229,[-6.4849 6.4849 ],9.1710,0.0025,128.0000,0.0100
111,-76.8926,[3.3753 -3.4147 ],[0.0161 -0.0161 ],0.0227,[-6.4200 6.4200 ],9.0793,0.0025,128.0000,0.0100
112,-77.0977,[3.3914 -3.4307 ],[0.0159 -0.0159 ],0.0225,[-6.3558 6.3558 ],8.9885,0.0025,128.0000,0.0100
113,-77.2987,[3.4072 -3.4466 ],[0.0157 -0.0157 ],0.0222,[-6.2923 6.2923 ],8.8986,0.0025,128.0000,0.0100
114,-77.4956,[3.4230 -3.4623 ],[0.0156 -0.0156 ],0.0220,[-6.2294 6.2294 ],8.8096,0.0025,128.0000,0.0100
115,-77.6887,[3.4385 -3.4779 ],[0.0154 -0.0154 ],0.0218,[-6.1671 6.1671 ],8.7215,0.0025,128.0000,0.0100
116,-77.8779,[3.4540 -3.4933 ],[0.0153 -0.0153 ],0.0216,[-6.1054 6.1054 ],8.6343,0.0025,128.0000,0.0100
117,-78.0634,[3.4692 -3.5086 ],[0.0151 -0.0151 ],0.0214,[-6.0443 6.0443 ],8.5480,0.0025,128.0000,0.0100
118,-78.2451,[3.4843 -3.5237 ],[0.0150 -0.0150 ],0.0212,[-5.9839 5.9839 ],8.4625,0.0025,128.0000,0.0100
119,-78.4232,[3.4993 -3.5387 ],[0.0148 -0.0148 ],0.0209,[-5.9241 5.9241 ],8.3779,0.0025,128.0000,0.0100
120,-78.5978,[3.5141 -3.5535 ],[0.0147 -0.0147 ],0.0207,[-5.8648 5.8648 ],8.2941,0.0025,128.0000,0.0100
121,-78.7690,[3.5288 -3.5681 ],[0.0145 -0.0145 ],0.0205,[-5.8062 5.8062 ],8.2112,0.0025,128.0000,0.0100
122,-78.9367,[3.5433 -3.5827 ],[0.0144 -0.0144 ],0.0203,[-5.7481 5.7481 ],8.1290,0.0025,128.0000,0.0100
123,-79.1011,[3.5577 -3.5970 ],[0.0142 -0.0142 ],0.0201,[-5.6906 5.6906 ],8.0478,0.0025,128.0000,0.0100
124,-79.2622,[3.5719 -3.6113 ],[0.0141 -0.0141 ],0.0199,[-5.6337 5.6337 ],7.9673,0.0025,128.0000,0.0100
125,-79.4201,[3.5860 -3.6253 ],[0.0139 -0.0139 ],0.0197,[-5.5774 5.5774 ],7.8876,0.0025,128.0000,0.0100
126,-79.5748,[3.5999 -3.6393 ],[0.0138 -0.0138 ],0.0195,[-5.5216 5.5216 ],7.8087,0.0025,128.0000,0.0100
127,-79.7265,[3.6137 -3.6531 ],[0.0137 -0.0137 ],0.0193,[-5.4664 5.4664 ],7.7306,0.0025,128.0000,0.0100
128,-79.8752,[3.6274 -3.6668 ],[0.0135 -0.0135 ],0.0191,[-5.4117 5.4117 ],7.6533,0.0025,128.0000,0.0100
129,-80.0209,[3.6409 -3.6803 ],[0.0134 -0.0134 ],0.0189,[-5.3576 5.3576 ],7.5768,0.0025,128.0000,0.0100
130,-80.1637,[3.6543 -3.6937 ],[0.0133 -0.0133 ],0.0188,[-5.3040 5.3040 ],7.5010,0.0025,128.0000,0.0100
131,-80.3036,[3.6676 -3.7069 ],[0.0131 -0.0131 ],0.0186,[-5.2510 5.2510 ],7.4260,0.0025,128.0000,0.0100
132,-80.4408,[3.6807 -3.7201 ],[0.0130 -0.0130 ],0.0184,[-5.1985 5.1985 ],7.3518,0.0025,128.0000,0.0100
133,-80.5752,[3.6937 -3.7331 ],[0.0129 -0.0129 ],0.0182,[-5.1465 5.1465 ],7.2782,0.0025,128.0000,0.0100
134,-80.7070,[3.7066 -3.7459 ],[0.0127 -0.0127 ],0.0180,[-5.0950 5.0950 ],7.2055,0.0025,128.0000,0.0100
135,-80.8362,[3.7193 -3.7587 ],[0.0126 -0.0126 ],0.0178,[-5.0441 5.0441 ],7.1334,0.0025,128.0000,0.0100
136,-80.9627,[3.7319 -3.7713 ],[0.0125 -0.0125 ],0.0177,[-4.9936 4.9936 ],7.0621,0.0025,128.0000,0.0100
137,-81.0868,[3.7444 -3.7838 ],[0.0124 -0.0124 ],0.0175,[-4.9437 4.9437 ],6.9915,0.0025,128.0000,0.0100
138,-81.2084,[3.7567 -3.7961 ],[0.0122 -0.0122 ],0.0173,[-4.8943 4.8943 ],6.9215,0.0025,128.0000,0.0100
139,-81.3276,[3.7690 -3.8084 ],[0.0121 -0.0121 ],0.0171,[-4.8453 4.8453 ],6.8523,0.0025,128.0000,0.0100
140,-81.4444,[3.7811 -3.8205 ],[0.0120 -0.0120 ],0.0170,[-4.7969 4.7969 ],6.7838,0.0025,128.0000,0.0100
141,-81.5588,[3.7931 -3.8325 ],[0.0119 -0.0119 ],0.0168,[-4.7489 4.7489 ],6.7160,0.0025,128.0000,0.0100
142,-81.6710,[3.8050 -3.8443 ],[0.0118 -0.0118 ],0.0166,[-4.7014 4.7014 ],6.6488,0.0025,128.0000,0.0100
143,-81.7810,[3.8167 -3.8561 ],[0.0116 -0.0116 ],0.0165,[-4.6544 4.6544 ],6.5823,0.0025,128.0000,0.0100
144,-81.8888,[3.8284 -3.8677 ],[0.0115 -0.0115 ],0.0163,[-4.6079 4.6079 ],6.5165,0.0025,128.0000,0.0100
145,-81.9944,[3.8399 -3.8792 ],[0.0114 -0.0114 ],0.0161,[-4.5618 4.5618 ],6.4513,0.0025,128.0000,0.0100
146,-82.0979,[3.8513 -3.8906 ],[0.0113 -0.0113 ],0.0160,[-4.5162 4.5162 ],6.3868,0.0025,128.0000,0.0100
147,-82.1994,[3.8626 -3.9019 ],[0.0112 -0.0112 ],0.0158,[-4.4710 4.4710 ],6.3229,0.0025,128.0000,0.0100
148,-82.2988,[3.8737 -3.9131 ],[0.0111 -0.0111 ],0.0156,[-4.4263 4.4263 ],6.2597,0.0025,128.0000,0.0100
149,-82.3963,[3.8848 -3.9242 ],[0.0110 -0.0110 ],0.0155,[-4.3820 4.3820 ],6.1971,0.0025,128.0000,0.0100
150,-82.4918,[3.8958 -3.9351 ],[0.0108 -0.0108 ],0.0153,[-4.3382 4.3382 ],6.1351,0.0025,128.0000,0.0100
151,-82.5855,[3.9066 -3.9460 ],[0.0107 -0.0107 ],0.0152,[-4.2948 4.2948 ],6.0738,0.0025,128.0000,0.0100
152,-82.6772,[3.9173 -3.9567 ],[0.0106 -0.0106 ],0.0150,[-4.2519 4.2519 ],6.0131,0.0025,128.0000,0.0100
153,-82.7672,[3.9280 -3.9673 ],[0.0105 -0.0105 ],0.0149,[-4.2094 4.2094 ],5.9529,0.0025,128.0000,0.0100
154,-82.8553,[3.9385 -3.9779 ],[0.0104 -0.0104 ],0.0147,[-4.1673 4.1673 ],5.8934,0.0025,128.0000,0.0100
155,-82.9417,[3.9489 -3.9883 ],[0.0103 -0.0103 ],0.0146,[-4.1256 4.1256 ],5.8345,0.0025,128.0000,0.0100
156,-83.0264,[3.9592 -3.9986 ],[0.0102 -0.0102 ],0.0144,[-4.0843 4.0843 ],5.7761,0.0025,128.0000,0.0100
157,-83.1094,[3.9694 -4.0088 ],[0.0101 -0.0101 ],0.0143,[-4.0435 4.0435 ],5.7184,0.0025,128.0000,0.0100
158,-83.1907,[3.9796 -4.0189 ],[0.0100 -0.0100 ],0.0142,[-4.0031 4.0031 ],5.6612,0.0025,128.0000,0.0100
159,-83.2705,[3.9896 -4.0289 ],[0.0099 -0.0099 ],0.0140,[-3.9630 3.9630 ],5.6046,0.0025,128.0000,0.0100
160,-83.3486,[3.9995 -4.0388 ],[0.0098 -0.0098 ],0.0139,[-3.9234 3.9234 ],5.5485,0.0025,128.0000,0.0100
161,-83.4252,[4.0093 -4.0486 ],[0.0097 -0.0097 ],0.0137,[-3.8842 3.8842 ],5.4930,0.0025,128.0000,0.0100
162,-83.5002,[4.0190 -4.0584 ],[0.0096 -0.0096 ],0.0136,[-3.8453 3.8453 ],5.4381,0.0025,128.0000,0.0100
163,-83.5738,[4.0286 -4.0680 ],[0.0095 -0.0095 ],0.0135,[-3.8069 3.8069 ],5.3837,0.0025,128.0000,0.0100
164,-83.6459,[4.0381 -4.0775 ],[0.0094 -0.0094 ],0.0133,[-3.7688 3.7688 ],5.3299,0.0025,128.0000,0.0100
165,-83.7166,[4.0475 -4.0869 ],[0.0093 -0.0093 ],0.0132,[-3.7311 3.7311 ],5.2766,0.0025,128.0000,0.0100
166,-83.7858,[4.0569 -4.0962 ],[0.0092 -0.0092 ],0.0131,[-3.6938 3.6938 ],5.2238,0.0025,128.0000,0.0100
167,-83.8537,[4.0661 -4.1055 ],[0.0091 -0.0091 ],0.0129,[-3.6569 3.6569 ],5.1716,0.0025,128.0000,0.0100
168,-83.9202,[4.0752 -4.1146 ],[0.0091 -0.0091 ],0.0128,[-3.6203 3.6203 ],5.1199,0.0025,128.0000,0.0100
169,-83.9854,[4.0843 -4.1237 ],[0.0090 -0.0090 ],0.0127,[-3.5841 3.5841 ],5.0687,0.0025,128.0000,0.0100
170,-84.0493,[4.0933 -4.1326 ],[0.0089 -0.0089 ],0.0125,[-3.5482 3.5482 ],5.0180,0.0025,128.0000,0.0100
171,-84.1120,[4.1021 -4.1415 ],[0.0088 -0.0088 ],0.0124,[-3.5128 3.5128 ],4.9678,0.0025,128.0000,0.0100
172,-84.1734,[4.1109 -4.1503 ],[0.0087 -0.0087 ],0.0123,[-3.4776 3.4776 ],4.9181,0.0025,128.0000,0.0100
173,-84.2335,[4.1196 -4.1590 ],[0.0086 -0.0086 ],0.0122,[-3.4429 3.4429 ],4.8689,0.0025,128.0000,0.0100
174,-84.2925,[4.1282 -4.1676 ],[0.0085 -0.0085 ],0.0121,[-3.4084 3.4084 ],4.8203,0.0025,128.0000,0.0100
175,-84.3503,[4.1367 -4.1761 ],[0.0084 -0.0084 ],0.0119,[-3.3743 3.3743 ],4.7720,0.0025,128.0000,0.0100
176,-84.4069,[4.1452 -4.1845 ],[0.0084 -0.0084 ],0.0118,[-3.3406 3.3406 ],4.7243,0.0025,128.0000,0.0100
177,-84.4625,[4.1535 -4.1929 ],[0.0083 -0.0083 ],0.0117,[-3.3072 3.3072 ],4.6771,0.0025,128.0000,0.0100
178,-84.5169,[4.1618 -4.2012 ],[0.0082 -0.0082 ],0.0116,[-3.2741 3.2741 ],4.6303,0.0025,128.0000,0.0100
179,-84.5702,[4.1700 -4.2093 ],[0.0081 -0.0081 ],0.0115,[-3.2414 3.2414 ],4.5840,0.0025,128.0000,0.0100
180,-84.6225,[4.1781 -4.2174 ],[0.0080 -0.0080 ],0.0113,[-3.2090 3.2090 ],4.5382,0.0025,128.0000,0.0100
181,-84.6737,[4.1861 -4.2255 ],[0.0079 -0.0079 ],0.0112,[-3.1769 3.1769 ],4.4928,0.0025,128.0000,0.0100
182,-84.7239,[4.1940 -4.2334 ],[0.0079 -0.0079 ],0.0111,[-3.1451 3.1451 ],4.4479,0.0025,128.0000,0.0100
183,-84.7731,[4.2019 -4.2413 ],[0.0078 -0.0078 ],0.0110,[-3.1137 3.1137 ],4.4034,0.0025,128.0000,0.0100
184,-84.8214,[4.2097 -4.2491 ],[0.0077 -0.0077 ],0.0109,[-3.0825 3.0825 ],4.3593,0.0025,128.0000,0.0100
185,-84.8686,[4.2174 -4.2568 ],[0.0076 -0.0076 ],0.0108,[-3.0517 3.0517 ],4.3158,0.0025,128.0000,0.0100
