n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.1000 -0.3000 ],0.3162,[-10.0000 30.0000 ],31.6228,0.0100,128.0000,0.0100
2,8.2400,[0.1000 -0.3000 ],[0.1500 0.0540 ],0.1594,[-60.0000 -21.6000 ],63.7696,0.0025,128.0000,0.0100
3,3.3680,[0.2500 -0.2460 ],[0.0200 -0.0751 ],0.0777,[-7.9920 30.0240 ],31.0695,0.0025,128.0000,0.0100
4,1.3491,[0.2700 -0.3211 ],[0.0545 -0.0396 ],0.0674,[-21.7922 15.8436 ],26.9429,0.0025,128.0000,0.0100
5,-0.4288,[0.3245 -0.3607 ],[0.0446 -0.0486 ],0.0659,[-17.8267 19.4328 ],26.3709,0.0025,128.0000,0.0100
6,-2.1566,[0.3690 -0.4093 ],[0.0467 -0.0456 ],0.0652,[-18.6603 18.2266 ],26.0848,0.0025,128.0000,0.0100
7,-3.8490,[0.4157 -0.4548 ],[0.0455 -0.0458 ],0.0646,[-18.2005 18.3176 ],25.8223,0.0025,128.0000,0.0100
8,-5.5076,[0.4612 -0.5006 ],[0.0452 -0.0452 ],0.0639,[-18.0922 18.0606 ],25.5639,0.0025,128.0000,0.0100
9,-7.1332,[0.5064 -0.5458 ],[0.0447 -0.0447 ],0.0633,[-17.8914 17.8999 ],25.3083,0.0025,128.0000,0.0100
10,-8.7265,[0.5511 -0.5905 ],[0.0443 -0.0443 ],0.0626,[-17.7179 17.7155 ],25.0552,0.0025,128.0000,0.0100
11,-10.2881,[0.5954 -0.6348 ],[0.0438 -0.0438 ],0.0620,[-17.5392 17.5398 ],24.8046,0.0025,128.0000,0.0100
12,-11.8185,[0.6393 -0.6787 ],[0.0434 -0.0434 ],0.0614,[-17.3642 17.3641 ],24.5566,0.0025,128.0000,0.0100
13,-13.3186,[0.6827 -0.7221 ],[0.0430 -0.0430 ],0.0608,[-17.1905 17.1905 ],24.3110,0.0025,128.0000,0.0100
14,-14.7888,[0.7257 -0.7650 ],[0.0425 -0.0425 ],0.0602,[-17.0186 17.0186 ],24.0679,0.0025,128.0000,0.0100
15,-16.2297,[0.7682 -0.8076 ],[0.0421 -0.0421 ],0.0596,[-16.8484 16.8484 ],23.8272,0.0025,128.0000,0.0100
16,-17.6419,[0.8103 -0.8497 ],[0.0417 -0.0417 ],0.0590,[-16.6799 16.6799 ],23.5890,0.0025,128.0000,0.0100
17,-19.0261,[0.8520 -0.8914 ],[0.0413 -0.0413 ],0.0584,[-16.5131 16.5131 ],23.3531,0.0025,128.0000,0.0100
18,-20.3827,[0.8933 -0.9327 ],[0.0409 -0.0409 ],0.0578,[-16.3480 16.3480 ],23.1195,0.0025,128.0000,0.0100
19,-21.7123,[0.9342 -0.9736 ],[0.0405 -0.0405 ],0.0572,[-16.1845 16.1845 ],22.8884,0.0025,128.0000,0.0100
20,-23.0154,[0.9746 -1.0140 ],[0.0401 -0.0401 ],0.0566,[-16.0227 16.0227 ],22.6595,0.0025,128.0000,0.0100
21,-24.2926,[1.0147 -1.0541 ],[0.0397 -0.0397 ],0.0561,[-15.8624 15.8624 ],22.4329,0.0025,128.0000,0.0100
22,-25.5444,[1.0544 -1.0937 ],[0.0393 -0.0393 ],0.0555,[-15.7038 15.7038 ],22.2085,0.0025,128.0000,0.0100
23,-26.7713,[1.0936 -1.1330 ],[0.0389 -0.0389 ],0.0550,[-15.5468 15.5468 ],21.9865,0.0025,128.0000,0.0100
24,-27.9738,[1.1325 -1.1719 ],[0.0385 -0.0385 ],0.0544,[-15.3913 15.3913 ],21.7666,0.0025,128.0000,0.0100
25,-29.1523,[1.1710 -1.2103 ],[0.0381 -0.0381 ],0.0539,[-15.2374 15.2374 ],21.5489,0.0025,128.0000,0.0100
26,-30.3074,[1.2091 -1.2484 ],[0.0377 -0.0377 ],0.0533,[-15.0850 15.0850 ],21.3334,0.0025,128.0000,0.0100
27,-31.4395,[1.2468 -1.2861 ],[0.0373 -0.0373 ],0.0528,[-14.9342 14.9342 ],21.1201,0.0025,128.0000,0.0100
28,-32.5491,[1.2841 -1.3235 ],[0.0370 -0.0370 ],0.0523,[-14.7848 14.7848 ],20.9089,0.0025,128.0000,0.0100
29,-33.6366,[1.3211 -1.3604 ],[0.0366 -0.0366 ],0.0517,[-14.6370 14.6370 ],20.6998,0.0025,128.0000,0.0100
30,-34.7024,[1.3577 -1.3970 ],[0.0362 -0.0362 ],0.0512,[-14.4906 14.4906 ],20.4928,0.0025,128.0000,0.0100
31,-35.7470,[1.3939 -1.4333 ],[0.0359 -0.0359 ],0.0507,[-14.3457 14.3457 ],20.2879,0.0025,128.0000,0.0100
32,-36.7709,[1.4298 -1.4691 ],[0.0355 -0.0355 ],0.0502,[-14.2022 14.2022 ],20.0850,0.0025,128.0000,0.0100
33,-37.7744,[1.4653 -1.5046 ],[0.0352 -0.0352 ],0.0497,[-14.0602 14.0602 ],19.8842,0.0025,128.0000,0.0100
34,-38.7579,[1.5004 -1.5398 ],[0.0348 -0.0348 ],0.0492,[-13.9196 13.9196 ],19.6853,0.0025,128.0000,0.0100
35,-39.7218,[1.5352 -1.5746 ],[0.0345 -0.0345 ],0.0487,[-13.7804 13.7804 ],19.4885,0.0025,128.0000,0.0100
36,-40.6666,[1.5697 -1.6090 ],[0.0341 -0.0341 ],0.0482,[-13.6426 13.6426 ],19.2936,0.0025,128.0000,0.0100
37,-41.5925,[1.6038 -1.6431 ],[0.0338 -0.0338 ],0.0478,[-13.5062 13.5062 ],19.1006,0.0025,128.0000,0.0100
38,-42.5000,[1.6375 -1.6769 ],[0.0334 -0.0334 ],0.0473,[-13.3711 13.3711 ],18.9096,0.0025,128.0000,0.0100
39,-43.3895,[1.6710 -1.7103 ],[0.0331 -0.0331 ],0.0468,[-13.2374 13.2374 ],18.7205,0.0025,128.0000,0.0100
40,-44.2613,[1.7041 -1.7434 ],[0.0328 -0.0328 ],0.0463,[-13.1050 13.1050 ],18.5333,0.0025,128.0000,0.0100
41,-45.1157,[1.7368 -1.7762 ],[0.0324 -0.0324 ],0.0459,[-12.9740 12.9740 ],18.3480,0.0025,128.0000,0.0100
42,-45.9531,[1.7693 -1.8086 ],[0.0321 -0.0321 ],0.0454,[-12.8443 12.8443 ],18.1645,0.0025,128.0000,0.0100
43,-46.7739,[1.8014 -1.8407 ],[0.0318 -0.0318 ],0.0450,[-12.7158 12.7158 ],17.9829,0.0025,128.0000,0.0100
44,-47.5783,[1.8332 -1.8725 ],[0.0315 -0.0315 ],0.0445,[-12.5887 12.5887 ],17.8030,0.0025,128.0000,0.0100
45,-48.3667,[1.8646 -1.9040 ],[0.0312 -0.0312 ],0.0441,[-12.4628 12.4628 ],17.6250,0.0025,128.0000,0.0100
46,-49.1394,[1.8958 -1.9351 ],[0.0308 -0.0308 ],0.0436,[-12.3381 12.3381 ],17.4488,0.0025,128.0000,0.0100
47,-49.8968,[1.9266 -1.9660 ],[0.0305 -0.0305 ],0.0432,[-12.2148 12.2148 ],17.2743,0.0025,128.0000,0.0100
48,-50.6390,[1.9572 -1.9965 ],[0.0302 -0.0302 ],0.0428,[-12.0926 12.0926 ],17.1015,0.0025,128.0000,0.0100
49,-51.3665,[1.9874 -2.0268 ],[0.0299 -0.0299 ],0.0423,[-11.9717 11.9717 ],16.9305,0.0025,128.0000,0.0100
50,-52.0795,[2.0173 -2.0567 ],[0.0296 -0.0296 ],0.0419,[-11.8520 11.8520 ],16.7612,0.0025,128.0000,0.0100
51,-52.7784,[2.0470 -2.0863 ],[0.0293 -0.0293 ],0.0415,[-11.7335 11.7335 ],16.5936,0.0025,128.0000,0.0100
52,-53.4633,[2.0763 -2.1157 ],[0.0290 -0.0290 ],0.0411,[-11.6161 11.6161 ],16.4277,0.0025,128.0000,0.0100
53,-54.1346,[2.1053 -2.1447 ],[0.0287 -0.0287 ],0.0407,[-11.5000 11.5000 ],16.2634,0.0025,128.0000,0.0100
54,-54.7925,[2.1341 -2.1734 ],[0.0285 -0.0285 ],0.0403,[-11.3850 11.3850 ],16.1008,0.0025,128.0000,0.0100
55,-55.4374,[2.1625 -2.2019 ],[0.0282 -0.0282 ],0.0398,[-11.2711 11.2711 ],15.9398,0.0025,128.0000,0.0100
56,-56.0694,[2.1907 -2.2301 ],[0.0279 -0.0279 ],0.0395,[-11.1584 11.1584 ],15.7804,0.0025,128.0000,0.0100
57,-56.6888,[2.2186 -2.2580 ],[0.0276 -0.0276 ],0.0391,[-11.0468 11.0468 ],15.6226,0.0025,128.0000,0.0100
58,-57.2960,[2.2462 -2.2856 ],[0.0273 -0.0273 ],0.0387,[-10.9363 10.9363 ],15.4663,0.0025,128.0000,0.0100
59,-57.8910,[2.2736 -2.3129 ],[0.0271 -0.0271 ],0.0383,[-10.8270 10.8270 ],15.3117,0.0025,128.0000,0.0100
60,-58.4742,[2.3006 -2.3400 ],[0.0268 -0.0268 ],0.0379,[-10.7187 10.7187 ],15.1585,0.0025,128.0000,0.0100
61,-59.0457,[2.3274 -2.3668 ],[0.0265 -0.0265 ],0.0375,[-10.6115 10.6115 ],15.0070,0.0025,128.0000,0.0100
62,-59.6060,[2.3540 -2.3933 ],[0.0263 -0.0263 ],0.0371,[-10.5054 10.5054 ],14.8569,0.0025,128.0000,0.0100
63,-60.1550,[2.3802 -2.4196 ],[0.0260 -0.0260 ],0.0368,[-10.4004 10.4004 ],14.7083,0.0025,128.0000,0.0100
64,-60.6931,[2.4062 -2.4456 ],[0.0257 -0.0257 ],0.0364,[-10.2963 10.2963 ],14.5612,0.0025,128.0000,0.0100
65,-61.2206,[2.4320 -2.4713 ],[0.0255 -0.0255 ],0.0360,[-10.1934 10.1934 ],14.4156,0.0025,128.0000,0.0100
66,-61.7375,[2.4575 -2.4968 ],[0.0252 -0.0252 ],0.0357,[-10.0915 10.0915 ],14.2715,0.0025,128.0000,0.0100
67,-62.2441,[2.4827 -2.5221 ],[0.0250 -0.0250 ],0.0353,[-9.9905 9.9905 ],14.1288,0.0025,128.0000,0.0100
68,-62.7407,[2.5077 -2.5470 ],[0.0247 -0.0247 ],0.0350,[-9.8906 9.8906 ],13.9875,0.0025,128.0000,0.0100
69,-63.2274,[2.5324 -2.5718 ],[0.0245 -0.0245 ],0.0346,[-9.7917 9.7917 ],13.8476,0.0025,128.0000,0.0100
70,-63.7044,[2.5569 -2.5962 ],[0.0242 -0.0242 ],0.0343,[-9.6938 9.6938 ],13.7091,0.0025,128.0000,0.0100
71,-64.1719,[2.5811 -2.6205 ],[0.0240 -0.0240 ],0.0339,[-9.5969 9.5969 ],13.5720,0.0025,128.0000,0.0100
72,-64.6301,[2.6051 -2.6445 ],[0.0238 -0.0238 ],0.0336,[-9.5009 9.5009 ],13.4363,0.0025,128.0000,0.0100
73,-65.0791,[2.6288 -2.6682 ],[0.0235 -0.0235 ],0.0333,[-9.4059 9.4059 ],13.3019,0.0025,128.0000,0.0100
74,-65.5193,[2.6524 -2.6917 ],[0.0233 -0.0233 ],0.0329,[-9.3118 9.3118 ],13.1689,0.0025,128.0000,0.0100
75,-65.9507,[2.6756 -2.7150 ],[0.0230 -0.0230 ],0.0326,[-9.2187 9.2187 ],13.0372,0.0025,128.0000,0.0100
76,-66.3735,[2.6987 -2.7381 ],[0.0228 -0.0228 ],0.0323,[-9.1265 9.1265 ],12.9069,0.0025,128.0000,0.0100
77,-66.7879,[2.7215 -2.7609 ],[0.0226 -0.0226 ],0.0319,[-9.0353 9.0353 ],12.7778,0.0025,128.0000,0.0100
78,-67.1940,[2.7441 -2.7835 ],[0.0224 -0.0224 ],0.0316,[-8.9449 8.9449 ],12.6500,0.0025,128.0000,0.0100
79,-67.5920,[2.7664 -2.8058 ],[0.0221 -0.0221 ],0.0313,[-8.8555 8.8555 ],12.5235,0.0025,128.0000,0.0100
80,-67.9822,[2.7886 -2.8280 ],[0.0219 -0.0219 ],0.0310,[-8.7669 8.7669 ],12.3983,0.0025,128.0000,0.0100
81,-68.3646,[2.8105 -2.8499 ],[0.0217 -0.0217 ],0.0307,[-8.6792 8.6792 ],12.2743,0.0025,128.0000,0.0100
82,-68.7393,[2.8322 -2.8716 ],[0.0215 -0.0215 ],0.0304,[-8.5924 8.5924 ],12.1516,0.0025,128.0000,0.0100
83,-69.1066,[2.8537 -2.8931 ],[0.0213 -0.0213 ],0.0301,[-8.5065 8.5065 ],12.0300,0.0025,128.0000,0.0100
84,-69.4666,[2.8750 -2.9143 ],[0.0211 -0.0211 ],0.0298,[-8.4215 8.4215 ],11.9097,0.0025,128.0000,0.0100
85,-69.8195,[2.8960 -2.9354 ],[0.0208 -0.0208 ],0.0295,[-8.3372 8.3372 ],11.7906,0.0025,128.0000,0.0100
86,-70.1653,[2.9168 -2.9562 ],[0.0206 -0.0206 ],0.0292,[-8.2539 8.2539 ],11.6727,0.0025,128.0000,0.0100
87,-70.5042,[2.9375 -2.9769 ],[0.0204 -0.0204 ],0.0289,[-8.1713 8.1713 ],11.5560,0.0025,128.0000,0.0100
88,-70.8364,[2.9579 -2.9973 ],[0.0202 -0.0202 ],0.0286,[-8.0896 8.0896 ],11.4404,0.0025,128.0000,0.0100
89,-71.1619,[2.9781 -3.0175 ],[0.0200 -0.0200 ],0.0283,[-8.0087 8.0087 ],11.3260,0.0025,128.0000,0.0100
90,-71.4810,[2.9982 -3.0375 ],[0.0198 -0.0198 ],0.0280,[-7.9286 7.9286 ],11.2128,0.0025,128.0000,0.0100
91,-71.7938,[3.0180 -3.0573 ],[0.0196 -0.0196 ],0.0278,[-7.8493 7.8493 ],11.1007,0.0025,128.0000,0.0100
92,-72.1003,[3.0376 -3.0770 ],[0.0194 -0.0194 ],0.0275,[-7.7709 7.7709 ],10.9896,0.0025,128.0000,0.0100
93,-72.4007,[3.0570 -3.0964 ],[0.0192 -0.0192 ],0.0272,[-7.6931 7.6931 ],10.8798,0.0025,128.0000,0.0100
94,-72.6952,[3.0763 -3.1156 ],[0.0190 -0.0190 ],0.0269,[-7.6162 7.6162 ],10.7710,0.0025,128.0000,0.0100
95,-72.9838,[3.0953 -3.1347 ],[0.0189 -0.0189 ],0.0267,[-7.5401 7.5401 ],10.6632,0.0025,128.0000,0.0100
96,-73.2666,[3.1142 -3.1535 ],[0.0187 -0.0187 ],0.0264,[-7.4647 7.4647 ],10.5566,0.0025,128.0000,0.0100
97,-73.5438,[3.1328 -3.1722 ],[0.0185 -0.0185 ],0.0261,[-7.3900 7.3900 ],10.4510,0.0025,128.0000,0.0100
98,-73.8155,[3.1513 -3.1907 ],[0.0183 -0.0183 ],0.0259,[-7.3161 7.3161 ],10.3465,0.0025,128.0000,0.0100
99,-74.0818,[3.1696 -3.2089 ],[0.0181 -0.0181 ],0.0256,[-7.2429 7.2429 ],10.2431,0.0025,128.0000,0.0100
100,-74.3428,[3.1877 -3.2271 ],[0.0179 -0.0179 ],0.0254,[-7.1705 7.1705 ],10.1406,0.0025,128.0000,0.0100
101,-74.5986,[3.2056 -3.2450 ],[0.0177 -0.0177 ],0.0251,[-7.0988 7.0988 ],10.0392,0.0025,128.0000,0.0100
102,-74.8493,[3.2234 -3.2627 ],[0.0176 -0.0176 ],0.0248,[-7.0278 7.0278 ],9.9388,0.0025,128.0000,0.0100
103,-75.0950,[3.2409 -3.2803 ],[0.0174 -0.0174 ],0.0246,[-6.9575 6.9575 ],9.8395,0.0025,128.0000,0.0100
104,-75.3358,[3.2583 -3.2977 ],[0.0172 -0.0172 ],0.0244,[-6.8880 6.8880 ],9.7411,0.0025,128.0000,0.0100
105,-75.5719,[3.2755 -3.3149 ],[0.0170 -0.0170 ],0.0241,[-6.8191 6.8191 ],9.6436,0.0025,128.0000,0.0100
