n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
14,-10.1925,[0.5927 -0.6321 ],[0.0439 -0.0439 ],0.0621,[-17.5504 17.5504 ],24.8200,0.0025,128.0000,0.0100
15,-11.7249,[0.6366 -0.6760 ],[0.0434 -0.0434 ],0.0614,[-17.3749 17.3749 ],24.5718,0.0025,128.0000,0.0100
16,-13.2268,[0.6800 -0.7194 ],[0.0430 -0.0430 ],0.0608,[-17.2012 17.2012 ],24.3261,0.0025,128.0000,0.0100
17,-14.6988,[0.7230 -0.7624 ],[0.0426 -0.0426 ],0.0602,[-17.0292 17.0292 ],24.0829,0.0025,128.0000,0.0100
18,-16.1415,[0.7656 -0.8050 ],[0.0421 -0.0421 ],0.0596,[-16.8589 16.8589 ],23.8420,0.0025,128.0000,0.0100
19,-17.5555,[0.8077 -0.8471 ],[0.0417 -0.0417 ],0.0590,[-16.6903 16.6903 ],23.6036,0.0025,128.0000,0.0100
20,-18.9414,[0.8495 -0.8888 ],[0.0413 -0.0413 ],0.0584,[-16.5234 16.5234 ],23.3676,0.0025,128.0000,0.0100
21,-20.2997,[0.8908 -0.9302 ],[0.0409 -0.0409 ],0.0578,[-16.3581 16.3581 ],23.1339,0.0025,128.0000,0.0100
22,-21.6309,[0.9317 -0.9710 ],[0.0405 -0.0405 ],0.0573,[-16.1946 16.1946 ],22.9026,0.0025,128.0000,0.0100
23,-22.9357,[0.9722 -1.0115 ],[0.0401 -0.0401 ],0.0567,[-16.0326 16.0326 ],22.6735,0.0025,128.0000,0.0100
24,-24.2145,[1.0122 -1.0516 ],[0.0397 -0.0397 ],0.0561,[-15.8723 15.8723 ],22.4468,0.0025,128.0000,0.0100
25,-25.4678,[1.0519 -1.0913 ],[0.0393 -0.0393 ],0.0556,[-15.7136 15.7136 ],22.2223,0.0025,128.0000,0.0100
26,-26.6962,[1.0912 -1.1306 ],[0.0389 -0.0389 ],0.0550,[-15.5564 15.5564 ],22.0001,0.0025,128.0000,0.0100
27,-27.9002,[1.1301 -1.1695 ],[0.0385 -0.0385 ],0.0545,[-15.4009 15.4009 ],21.7801,0.0025,128.0000,0.0100
28,-29.0802,[1.1686 -1.2080 ],[0.0381 -0.0381 ],0.0539,[-15.2469 15.2469 ],21.5623,0.0025,128.0000,0.0100
29,-30.2367,[1.2067 -1.2461 ],[0.0377 -0.0377 ],0.0534,[-15.0944 15.0944 ],21.3467,0.0025,128.0000,0.0100
30,-31.3702,[1.2445 -1.2838 ],[0.0374 -0.0374 ],0.0528,[-14.9434 14.9434 ],21.1332,0.0025,128.0000,0.0100
31,-32.4812,[1.2818 -1.3212 ],[0.0370 -0.0370 ],0.0523,[-14.7940 14.7940 ],20.9219,0.0025,128.0000,0.0100
32,-33.5700,[1.3188 -1.3582 ],[0.0366 -0.0366 ],0.0518,[-14.6461 14.6461 ],20.7127,0.0025,128.0000,0.0100
33,-34.6372,[1.3554 -1.3948 ],[0.0362 -0.0362 ],0.0513,[-14.4996 14.4996 ],20.5055,0.0025,128.0000,0.0100
34,-35.6831,[1.3917 -1.4310 ],[0.0359 -0.0359 ],0.0508,[-14.3546 14.3546 ],20.3005,0.0025,128.0000,0.0100
35,-36.7083,[1.4275 -1.4669 ],[0.0355 -0.0355 ],0.0502,[-14.2111 14.2111 ],20.0975,0.0025,128.0000,0.0100
36,-37.7130,[1.4631 -1.5024 ],[0.0352 -0.0352 ],0.0497,[-14.0690 14.0690 ],19.8965,0.0025,128.0000,0.0100
37,-38.6977,[1.4982 -1.5376 ],[0.0348 -0.0348 ],0.0492,[-13.9283 13.9283 ],19.6975,0.0025,128.0000,0.0100
38,-39.6628,[1.5331 -1.5724 ],[0.0345 -0.0345 ],0.0488,[-13.7890 13.7890 ],19.5006,0.0025,128.0000,0.0100
39,-40.6088,[1.5675 -1.6069 ],[0.0341 -0.0341 ],0.0483,[-13.6511 13.6511 ],19.3056,0.0025,128.0000,0.0100
40,-41.5359,[1.6017 -1.6410 ],[0.0338 -0.0338 ],0.0478,[-13.5146 13.5146 ],19.1125,0.0025,128.0000,0.0100
41,-42.4445,[1.6355 -1.6748 ],[0.0334 -0.0334 ],0.0473,[-13.3794 13.3794 ],18.9214,0.0025,128.0000,0.0100
42,-43.3351,[1.6689 -1.7083 ],[0.0331 -0.0331 ],0.0468,[-13.2456 13.2456 ],18.7322,0.0025,128.0000,0.0100
43,-44.2079,[1.7020 -1.7414 ],[0.0328 -0.0328 ],0.0464,[-13.1132 13.1132 ],18.5448,0.0025,128.0000,0.0100
44,-45.0634,[1.7348 -1.7742 ],[0.0325 -0.0325 ],0.0459,[-12.9821 12.9821 ],18.3594,0.0025,128.0000,0.0100
45,-45.9019,[1.7673 -1.8066 ],[0.0321 -0.0321 ],0.0454,[-12.8522 12.8522 ],18.1758,0.0025,128.0000,0.0100
46,-46.7237,[1.7994 -1.8388 ],[0.0318 -0.0318 ],0.0450,[-12.7237 12.7237 ],17.9940,0.0025,128.0000,0.0100
47,-47.5291,[1.8312 -1.8706 ],[0.0315 -0.0315 ],0.0445,[-12.5965 12.5965 ],17.8141,0.0025,128.0000,0.0100
48,-48.3185,[1.8627 -1.9021 ],[0.0312 -0.0312 ],0.0441,[-12.4705 12.4705 ],17.6360,0.0025,128.0000,0.0100
49,-49.0921,[1.8939 -1.9332 ],[0.0309 -0.0309 ],0.0436,[-12.3458 12.3458 ],17.4596,0.0025,128.0000,0.0100
50,-49.8504,[1.9247 -1.9641 ],[0.0306 -0.0306 ],0.0432,[-12.2223 12.2223 ],17.2850,0.0025,128.0000,0.0100
51,-50.5936,[1.9553 -1.9947 ],[0.0303 -0.0303 ],0.0428,[-12.1001 12.1001 ],17.1122,0.0025,128.0000,0.0100
52,-51.3220,[1.9855 -2.0249 ],[0.0299 -0.0299 ],0.0424,[-11.9791 11.9791 ],16.9410,0.0025,128.0000,0.0100
53,-52.0359,[2.0155 -2.0549 ],[0.0296 -0.0296 ],0.0419,[-11.8593 11.8593 ],16.7716,0.0025,128.0000,0.0100
54,-52.7356,[2.0451 -2.0845 ],[0.0294 -0.0294 ],0.0415,[-11.7407 11.7407 ],16.6039,0.0025,128.0000,0.0100
55,-53.4214,[2.0745 -2.1139 ],[0.0291 -0.0291 ],0.0411,[-11.6233 11.6233 ],16.4379,0.0025,128.0000,0.0100
56,-54.0935,[2.1035 -2.1429 ],[0.0288 -0.0288 ],0.0407,[-11.5071 11.5071 ],16.2735,0.0025,128.0000,0.0100
57,-54.7523,[2.1323 -2.1717 ],[0.0285 -0.0285 ],0.0403,[-11.3920 11.3920 ],16.1108,0.0025,128.0000,0.0100
58,-55.3979,[2.1608 -2.2002 ],[0.0282 -0.0282 ],0.0399,[-11.2781 11.2781 ],15.9496,0.0025,128.0000,0.0100
59,-56.0307,[2.1890 -2.2284 ],[0.0279 -0.0279 ],0.0395,[-11.1653 11.1653 ],15.7902,0.0025,128.0000,0.0100
60,-56.6509,[2.2169 -2.2563 ],[0.0276 -0.0276 ],0.0391,[-11.0537 11.0537 ],15.6322,0.0025,128.0000,0.0100
61,-57.2588,[2.2445 -2.2839 ],[0.0274 -0.0274 ],0.0387,[-10.9431 10.9431 ],15.4759,0.0025,128.0000,0.0100
62,-57.8546,[2.2719 -2.3113 ],[0.0271 -0.0271 ],0.0383,[-10.8337 10.8337 ],15.3212,0.0025,128.0000,0.0100
63,-58.4385,[2.2990 -2.3383 ],[0.0268 -0.0268 ],0.0379,[-10.7254 10.7254 ],15.1680,0.0025,128.0000,0.0100
64,-59.0108,[2.3258 -2.3652 ],[0.0265 -0.0265 ],0.0375,[-10.6181 10.6181 ],15.0163,0.0025,128.0000,0.0100
65,-59.5717,[2.3523 -2.3917 ],[0.0263 -0.0263 ],0.0372,[-10.5119 10.5119 ],14.8661,0.0025,128.0000,0.0100
66,-60.1214,[2.3786 -2.4180 ],[0.0260 -0.0260 ],0.0368,[-10.4068 10.4068 ],14.7175,0.0025,128.0000,0.0100
67,-60.6602,[2.4046 -2.4440 ],[0.0258 -0.0258 ],0.0364,[-10.3027 10.3027 ],14.5703,0.0025,128.0000,0.0100
68,-61.1883,[2.4304 -2.4698 ],[0.0255 -0.0255 ],0.0361,[-10.1997 10.1997 ],14.4246,0.0025,128.0000,0.0100
69,-61.7059,[2.4559 -2.4953 ],[0.0252 -0.0252 ],0.0357,[-10.0977 10.0977 ],14.2803,0.0025,128.0000,0.0100
70,-62.2131,[2.4811 -2.5205 ],[0.0250 -0.0250 ],0.0353,[-9.9967 9.9967 ],14.1375,0.0025,128.0000,0.0100
71,-62.7103,[2.5061 -2.5455 ],[0.0247 -0.0247 ],0.0350,[-9.8968 9.8968 ],13.9962,0.0025,128.0000,0.0100
72,-63.1976,[2.5309 -2.5702 ],[0.0245 -0.0245 ],0.0346,[-9.7978 9.7978 ],13.8562,0.0025,128.0000,0.0100
73,-63.6752,[2.5554 -2.5947 ],[0.0242 -0.0242 ],0.0343,[-9.6998 9.6998 ],13.7176,0.0025,128.0000,0.0100
74,-64.1433,[2.5796 -2.6190 ],[0.0240 -0.0240 ],0.0340,[-9.6028 9.6028 ],13.5805,0.0025,128.0000,0.0100
75,-64.6020,[2.6036 -2.6430 ],[0.0238 -0.0238 ],0.0336,[-9.5068 9.5068 ],13.4446,0.0025,128.0000,0.0100
76,-65.0517,[2.6274 -2.6668 ],[0.0235 -0.0235 ],0.0333,[-9.4117 9.4117 ],13.3102,0.0025,128.0000,0.0100
77,-65.4924,[2.6509 -2.6903 ],[0.0233 -0.0233 ],0.0329,[-9.3176 9.3176 ],13.1771,0.0025,128.0000,0.0100
78,-65.9243,[2.6742 -2.7136 ],[0.0231 -0.0231 ],0.0326,[-9.2244 9.2244 ],13.0453,0.0025,128.0000,0.0100
79,-66.3476,[2.6973 -2.7366 ],[0.0228 -0.0228 ],0.0323,[-9.1322 9.1322 ],12.9149,0.0025,128.0000,0.0100
80,-66.7625,[2.7201 -2.7595 ],[0.0226 -0.0226 ],0.0320,[-9.0409 9.0409 ],12.7857,0.0025,128.0000,0.0100
81,-67.1691,[2.7427 -2.7821 ],[0.0224 -0.0224 ],0.0316,[-8.9505 8.9505 ],12.6579,0.0025,128.0000,0.0100
82,-67.5677,[2.7651 -2.8044 ],[0.0222 -0.0222 ],0.0313,[-8.8610 8.8610 ],12.5313,0.0025,128.0000,0.0100
83,-67.9583,[2.7872 -2.8266 ],[0.0219 -0.0219 ],0.0310,[-8.7724 8.7724 ],12.4060,0.0025,128.0000,0.0100
84,-68.3412,[2.8092 -2.8485 ],[0.0217 -0.0217 ],0.0307,[-8.6846 8.6846 ],12.2819,0.0025,128.0000,0.0100
85,-68.7164,[2.8309 -2.8702 ],[0.0215 -0.0215 ],0.0304,[-8.5978 8.5978 ],12.1591,0.0025,128.0000,0.0100
86,-69.0842,[2.8524 -2.8917 ],[0.0213 -0.0213 ],0.0301,[-8.5118 8.5118 ],12.0375,0.0025,128.0000,0.0100
87,-69.4446,[2.8736 -2.9130 ],[0.0211 -0.0211 ],0.0298,[-8.4267 8.4267 ],11.9171,0.0025,128.0000,0.0100
88,-69.7979,[2.8947 -2.9341 ],[0.0209 -0.0209 ],0.0295,[-8.3424 8.3424 ],11.7980,0.0025,128.0000,0.0100
89,-70.1441,[2.9156 -2.9549 ],[0.0206 -0.0206 ],0.0292,[-8.2590 8.2590 ],11.6800,0.0025,128.0000,0.0100
90,-70.4835,[2.9362 -2.9756 ],[0.0204 -0.0204 ],0.0289,[-8.1764 8.1764 ],11.5632,0.0025,128.0000,0.0100
91,-70.8161,[2.9567 -2.9960 ],[0.0202 -0.0202 ],0.0286,[-8.0946 8.0946 ],11.4475,0.0025,128.0000,0.0100
92,-71.1420,[2.9769 -3.0163 ],[0.0200 -0.0200 ],0.0283,[-8.0137 8.0137 ],11.3331,0.0025,128.0000,0.0100
93,-71.4615,[2.9969 -3.0363 ],[0.0198 -0.0198 ],0.0280,[-7.9336 7.9336 ],11.2197,0.0025,128.0000,0.0100
94,-71.7747,[3.0168 -3.0561 ],[0.0196 -0.0196 ],0.0278,[-7.8542 7.8542 ],11.1075,0.0025,128.0000,0.0100
95,-72.0816,[3.0364 -3.0758 ],[0.0194 -0.0194 ],0.0275,[-7.7757 7.7757 ],10.9965,0.0025,128.0000,0.0100
96,-72.3824,[3.0558 -3.0952 ],[0.0192 -0.0192 ],0.0272,[-7.6979 7.6979 ],10.8865,0.0025,128.0000,0.0100
97,-72.6772,[3.0751 -3.1144 ],[0.0191 -0.0191 ],0.0269,[-7.6209 7.6209 ],10.7776,0.0025,128.0000,0.0100
98,-72.9661,[3.0941 -3.1335 ],[0.0189 -0.0189 ],0.0267,[-7.5447 7.5447 ],10.6699,0.0025,128.0000,0.0100
99,-73.2493,[3.1130 -3.1524 ],[0.0187 -0.0187 ],0.0264,[-7.4693 7.4693 ],10.5632,0.0025,128.0000,0.0100
100,-73.5268,[3.1317 -3.1710 ],[0.0185 -0.0185 ],0.0261,[-7.3946 7.3946 ],10.4575,0.0025,128.0000,0.0100
101,-73.7989,[3.1502 -3.1895 ],[0.0183 -0.0183 ],0.0259,[-7.3206 7.3206 ],10.3530,0.0025,128.0000,0.0100
102,-74.0655,[3.1685 -3.2078 ],[0.0181 -0.0181 ],0.0256,[-7.2474 7.2474 ],10.2494,0.0025,128.0000,0.0100
103,-74.3268,[3.1866 -3.2259 ],[0.0179 -0.0179 ],0.0254,[-7.1750 7.1750 ],10.1469,0.0025,128.0000,0.0100
104,-74.5829,[3.2045 -3.2439 ],[0.0178 -0.0178 ],0.0251,[-7.1032 7.1032 ],10.0455,0.0025,128.0000,0.0100
105,-74.8339,[3.2223 -3.2616 ],[0.0176 -0.0176 ],0.0249,[-7.0322 7.0322 ],9.9450,0.0025,128.0000,0.0100
106,-75.0800,[3.2398 -3.2792 ],[0.0174 -0.0174 ],0.0246,[-6.9619 6.9619 ],9.8456,0.0025,128.0000,0.0100
107,-75.3211,[3.2573 -3.2966 ],[0.0172 -0.0172 ],0.0244,[-6.8922 6.8922 ],9.7471,0.0025,128.0000,0.0100
108,-75.5574,[3.2745 -3.3139 ],[0.0171 -0.0171 ],0.0241,[-6.8233 6.8233 ],9.6496,0.0025,128.0000,0.0100
109,-75.7890,[3.2915 -3.3309 ],[0.0169 -0.0169 ],0.0239,[-6.7551 6.7551 ],9.5531,0.0025,128.0000,0.0100
110,-76.0161,[3.3084 -3.3478 ],[0.0167 -0.0167 ],0.0236,[-6.6875 6.6875 ],9.4576,0.0025,128.0000,0.0100
111,-76.2386,[3.3251 -3.3645 ],[0.0166 -0.0166 ],0.0234,[-6.6207 6.6207 ],9.3630,0.0025,128.0000,0.0100
112,-76.4566,[3.3417 -3.3811 ],[0.0164 -0.0164 ],0.0232,[-6.5545 6.5545 ],9.2694,0.0025,128.0000,0.0100
113,-76.6704,[3.3581 -3.3975 ],[0.0162 -0.0162 ],0.0229,[-6.4889 6.4889 ],9.1767,0.0025,128.0000,0.0100
114,-76.8798,[3.3743 -3.4137 ],[0.0161 -0.0161 ],0.0227,[-6.4240 6.4240 ],9.0849,0.0025,128.0000,0.0100
115,-77.0851,[3.3904 -3.4297 ],[0.0159 -0.0159 ],0.0225,[-6.3598 6.3598 ],8.9941,0.0025,128.0000,0.0100
116,-77.2864,[3.4063 -3.4456 ],[0.0157 -0.0157 ],0.0223,[-6.2962 6.2962 ],8.9041,0.0025,128.0000,0.0100
117,-77.4836,[3.4220 -3.4614 ],[0.0156 -0.0156 ],0.0220,[-6.2332 6.2332 ],8.8151,0.0025,128.0000,0.0100
118,-77.6769,[3.4376 -3.4770 ],[0.0154 -0.0154 ],0.0218,[-6.1709 6.1709 ],8.7270,0.0025,128.0000,0.0100
119,-77.8663,[3.4530 -3.4924 ],[0.0153 -0.0153 ],0.0216,[-6.1092 6.1092 ],8.6397,0.0025,128.0000,0.0100
120,-78.0520,[3.4683 -3.5077 ],[0.0151 -0.0151 ],0.0214,[-6.0481 6.0481 ],8.5533,0.0025,128.0000,0.0100
121,-78.2340,[3.4834 -3.5228 ],[0.0150 -0.0150 ],0.0212,[-5.9876 5.9876 ],8.4678,0.0025,128.0000,0.0100
122,-78.4123,[3.4984 -3.5378 ],[0.0148 -0.0148 ],0.0210,[-5.9277 5.9277 ],8.3831,0.0025,128.0000,0.0100
123,-78.5872,[3.5132 -3.5526 ],[0.0147 -0.0147 ],0.0207,[-5.8685 5.8685 ],8.2992,0.0025,128.0000,0.0100
124,-78.7585,[3.5279 -3.5672 ],[0.0145 -0.0145 ],0.0205,[-5.8098 5.8098 ],8.2163,0.0025,128.0000,0.0100
125,-78.9264,[3.5424 -3.5818 ],[0.0144 -0.0144 ],0.0203,[-5.7517 5.7517 ],8.1341,0.0025,128.0000,0.0100
126,-79.0910,[3.5568 -3.5961 ],[0.0142 -0.0142 ],0.0201,[-5.6942 5.6942 ],8.0528,0.0025,128.0000,0.0100
127,-79.2523,[3.5710 -3.6104 ],[0.0141 -0.0141 ],0.0199,[-5.6372 5.6372 ],7.9722,0.0025,128.0000,0.0100
128,-79.4104,[3.5851 -3.6245 ],[0.0140 -0.0140 ],0.0197,[-5.5808 5.5808 ],7.8925,0.0025,128.0000,0.0100
129,-79.5654,[3.5991 -3.6384 ],[0.0138 -0.0138 ],0.0195,[-5.5250 5.5250 ],7.8136,0.0025,128.0000,0.0100
130,-79.7172,[3.6129 -3.6522 ],[0.0137 -0.0137 ],0.0193,[-5.4698 5.4698 ],7.7354,0.0025,128.0000,0.0100
131,-79.8661,[3.6265 -3.6659 ],[0.0135 -0.0135 ],0.0191,[-5.4151 5.4151 ],7.6581,0.0025,128.0000,0.0100
132,-80.0119,[3.6401 -3.6795 ],[0.0134 -0.0134 ],0.0190,[-5.3609 5.3609 ],7.5815,0.0025,128.0000,0.0100
133,-80.1549,[3.6535 -3.6929 ],[0.0133 -0.0133 ],0.0188,[-5.3073 5.3073 ],7.5057,0.0025,128.0000,0.0100
134,-80.2951,[3.6668 -3.7061 ],[0.0131 -0.0131 ],0.0186,[-5.2543 5.2543 ],7.4306,0.0025,128.0000,0.0100
135,-80.4324,[3.6799 -3.7193 ],[0.0130 -0.0130 ],0.0184,[-5.2017 5.2017 ],7.3563,0.0025,128.0000,0.0100
136,-80.5670,[3.6929 -3.7323 ],[0.0129 -0.0129 ],0.0182,[-5.1497 5.1497 ],7.2828,0.0025,128.0000,0.0100
137,-80.6990,[3.7058 -3.7451 ],[0.0127 -0.0127 ],0.0180,[-5.0982 5.0982 ],7.2099,0.0025,128.0000,0.0100
138,-80.8283,[3.7185 -3.7579 ],[0.0126 -0.0126 ],0.0178,[-5.0472 5.0472 ],7.1378,0.0025,128.0000,0.0100
139,-80.9550,[3.7311 -3.7705 ],[0.0125 -0.0125 ],0.0177,[-4.9967 4.9967 ],7.0665,0.0025,128.0000,0.0100
140,-81.0792,[3.7436 -3.7830 ],[0.0124 -0.0124 ],0.0175,[-4.9468 4.9468 ],6.9958,0.0025,128.0000,0.0100
141,-81.2009,[3.7560 -3.7954 ],[0.0122 -0.0122 ],0.0173,[-4.8973 4.8973 ],6.9258,0.0025,128.0000,0.0100
142,-81.3203,[3.7682 -3.8076 ],[0.0121 -0.0121 ],0.0171,[-4.8483 4.8483 ],6.8566,0.0025,128.0000,0.0100
143,-81.4372,[3.7804 -3.8197 ],[0.0120 -0.0120 ],0.0170,[-4.7998 4.7998 ],6.7880,0.0025,128.0000,0.0100
144,-81.5518,[3.7924 -3.8317 ],[0.0119 -0.0119 ],0.0168,[-4.7519 4.7519 ],6.7201,0.0025,128.0000,0.0100
145,-81.6642,[3.8042 -3.8436 ],[0.0118 -0.0118 ],0.0166,[-4.7043 4.7043 ],6.6529,0.0025,128.0000,0.0100
146,-81.7743,[3.8160 -3.8554 ],[0.0116 -0.0116 ],0.0165,[-4.6573 4.6573 ],6.5864,0.0025,128.0000,0.0100
147,-81.8822,[3.8276 -3.8670 ],[0.0115 -0.0115 ],0.0163,[-4.6107 4.6107 ],6.5205,0.0025,128.0000,0.0100
148,-81.9879,[3.8392 -3.8785 ],[0.0114 -0.0114 ],0.0161,[-4.5646 4.5646 ],6.4553,0.0025,128.0000,0.0100
149,-82.0916,[3.8506 -3.8899 ],[0.0113 -0.0113 ],0.0160,[-4.5190 4.5190 ],6.3908,0.0025,128.0000,0.0100
150,-82.1932,[3.8619 -3.9012 ],[0.0112 -0.0112 ],0.0158,[-4.4738 4.4738 ],6.3269,0.0025,128.0000,0.0100
151,-82.2928,[3.8731 -3.9124 ],[0.0111 -0.0111 ],0.0157,[-4.4290 4.4290 ],6.2636,0.0025,128.0000,0.0100
152,-82.3904,[3.8841 -3.9235 ],[0.0110 -0.0110 ],0.0155,[-4.3847 4.3847 ],6.2010,0.0025,128.0000,0.0100
153,-82.4860,[3.8951 -3.9345 ],[0.0109 -0.0109 ],0.0153,[-4.3409 4.3409 ],6.1390,0.0025,128.0000,0.0100
154,-82.5797,[3.9059 -3.9453 ],[0.0107 -0.0107 ],0.0152,[-4.2975 4.2975 ],6.0776,0.0025,128.0000,0.0100
155,-82.6716,[3.9167 -3.9561 ],[0.0106 -0.0106 ],0.0150,[-4.2545 4.2545 ],6.0168,0.0025,128.0000,0.0100
156,-82.7617,[3.9273 -3.9667 ],[0.0105 -0.0105 ],0.0149,[-4.2120 4.2120 ],5.9566,0.0025,128.0000,0.0100
157,-82.8499,[3.9379 -3.9772 ],[0.0104 -0.0104 ],0.0147,[-4.1698 4.1698 ],5.8971,0.0025,128.0000,0.0100
158,-82.9364,[3.9483 -3.9876 ],[0.0103 -0.0103 ],0.0146,[-4.1282 4.1282 ],5.8381,0.0025,128.0000,0.0100
159,-83.0212,[3.9586 -3.9980 ],[0.0102 -0.0102 ],0.0144,[-4.0869 4.0869 ],5.7797,0.0025,128.0000,0.0100
160,-83.1043,[3.9688 -4.0082 ],[0.0101 -0.0101 ],0.0143,[-4.0460 4.0460 ],5.7219,0.0025,128.0000,0.0100
161,-83.1858,[3.9789 -4.0183 ],[0.0100 -0.0100 ],0.0142,[-4.0055 4.0055 ],5.6647,0.0025,128.0000,0.0100
162,-83.2656,[3.9889 -4.0283 ],[0.0099 -0.0099 ],0.0140,[-3.9655 3.9655 ],5.6080,0.0025,128.0000,0.0100
163,-83.3438,[3.9989 -4.0382 ],[0.0098 -0.0098 ],0.0139,[-3.9258 3.9258 ],5.5520,0.0025,128.0000,0.0100
164,-83.4205,[4.0087 -4.0480 ],[0.0097 -0.0097 ],0.0137,[-3.8866 3.8866 ],5.4964,0.0025,128.0000,0.0100
165,-83.4956,[4.0184 -4.0578 ],[0.0096 -0.0096 ],0.0136,[-3.8477 3.8477 ],5.4415,0.0025,128.0000,0.0100
166,-83.5693,[4.0280 -4.0674 ],[0.0095 -0.0095 ],0.0135,[-3.8092 3.8092 ],5.3871,0.0025,128.0000,0.0100
167,-83.6415,[4.0375 -4.0769 ],[0.0094 -0.0094 ],0.0133,[-3.7711 3.7711 ],5.3332,0.0025,128.0000,0.0100
168,-83.7122,[4.0470 -4.0863 ],[0.0093 -0.0093 ],0.0132,[-3.7334 3.7334 ],5.2799,0.0025,128.0000,0.0100
169,-83.7816,[4.0563 -4.0957 ],[0.0092 -0.0092 ],0.0131,[-3.6961 3.6961 ],5.2271,0.0025,128.0000,0.0100
170,-83.8495,[4.0655 -4.1049 ],[0.0091 -0.0091 ],0.0129,[-3.6591 3.6591 ],5.1748,0.0025,128.0000,0.0100
171,-83.9162,[4.0747 -4.1141 ],[0.0091 -0.0091 ],0.0128,[-3.6225 3.6225 ],5.1230,0.0025,128.0000,0.0100
172,-83.9814,[4.0837 -4.1231 ],[0.0090 -0.0090 ],0.0127,[-3.5863 3.5863 ],5.0718,0.0025,128.0000,0.0100
173,-84.0454,[4.0927 -4.1321 ],[0.0089 -0.0089 ],0.0126,[-3.5505 3.5505 ],5.0211,0.0025,128.0000,0.0100
174,-84.1081,[4.1016 -4.1409 ],[0.0088 -0.0088 ],0.0124,[-3.5149 3.5149 ],4.9709,0.0025,128.0000,0.0100
175,-84.1696,[4.1104 -4.1497 ],[0.0087 -0.0087 ],0.0123,[-3.4798 3.4798 ],4.9212,0.0025,128.0000,0.0100
176,-84.2298,[4.1191 -4.1584 ],[0.0086 -0.0086 ],0.0122,[-3.4450 3.4450 ],4.8720,0.0025,128.0000,0.0100
177,-84.2889,[4.1277 -4.1670 ],[0.0085 -0.0085 ],0.0121,[-3.4105 3.4105 ],4.8232,0.0025,128.0000,0.0100
178,-84.3468,[4.1362 -4.1756 ],[0.0084 -0.0084 ],0.0119,[-3.3764 3.3764 ],4.7750,0.0025,128.0000,0.0100
179,-84.4035,[4.1446 -4.1840 ],[0.0084 -0.0084 ],0.0118,[-3.3427 3.3427 ],4.7273,0.0025,128.0000,0.0100
180,-84.4591,[4.1530 -4.1924 ],[0.0083 -0.0083 ],0.0117,[-3.3093 3.3093 ],4.6800,0.0025,128.0000,0.0100
181,-84.5135,[4.1613 -4.2006 ],[0.0082 -0.0082 ],0.0116,[-3.2762 3.2762 ],4.6332,0.0025,128.0000,0.0100
182,-84.5669,[4.1695 -4.2088 ],[0.0081 -0.0081 ],0.0115,[-3.2434 3.2434 ],4.5869,0.0025,128.0000,0.0100
183,-84.6193,[4.1776 -4.2169 ],[0.0080 -0.0080 ],0.0114,[-3.2110 3.2110 ],4.5410,0.0025,128.0000,0.0100
184,-84.6706,[4.1856 -4.2250 ],[0.0079 -0.0079 ],0.0112,[-3.1789 3.1789 ],4.4956,0.0025,128.0000,0.0100
185,-84.7208,[4.1935 -4.2329 ],[0.0079 -0.0079 ],0.0111,[-3.1471 3.1471 ],4.4506,0.0025,128.0000,0.0100
