n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0250 -0.0750 ],0.0791,[-10.0000 30.0000 ],31.6228,0.0025,128.0000,0.0100
2,10.8275,[0.0250 -0.0750 ],[0.0563 -0.0428 ],0.0707,[-22.5000 17.1000 ],28.2606,0.0025,128.0000,0.0100
3,8.8638,[0.0813 -0.1177 ],[0.0472 -0.0508 ],0.0694,[-18.8730 20.3310 ],27.7406,0.0025,128.0000,0.0100
4,6.9512,[0.1284 -0.1686 ],[0.0490 -0.0480 ],0.0686,[-19.6028 19.2092 ],27.4456,0.0025,128.0000,0.0100
5,5.0776,[0.1774 -0.2166 ],[0.0479 -0.0482 ],0.0679,[-19.1588 19.2651 ],27.1699,0.0025,128.0000,0.0100
6,3.2414,[0.2253 -0.2648 ],[0.0476 -0.0475 ],0.0672,[-19.0341 19.0055 ],26.8981,0.0025,128.0000,0.0100
7,1.4416,[0.2729 -0.3123 ],[0.0471 -0.0471 ],0.0666,[-18.8257 18.8335 ],26.6291,0.0025,128.0000,0.0100
8,-0.3223,[0.3200 -0.3594 ],[0.0466 -0.0466 ],0.0659,[-18.6424 18.6403 ],26.3628,0.0025,128.0000,0.0100
9,-2.0511,[0.3666 -0.4060 ],[0.0461 -0.0461 ],0.0652,[-18.4546 18.4552 ],26.0992,0.0025,128.0000,0.0100
10,-3.7455,[0.4127 -0.4521 ],[0.0457 -0.0457 ],0.0646,[-18.2704 18.2703 ],25.8382,0.0025,128.0000,0.0100
11,-5.4062,[0.4584 -0.4978 ],[0.0452 -0.0452 ],0.0639,[-18.0876 18.0877 ],25.5798,0.0025,128.0000,0.0100
12,-7.0338,[0.5036 -0.5430 ],[0.0448 -0.0448 ],0.0633,[-17.9068 17.9068 ],25.3240,0.0025,128.0000,0.0100
13,-8.6290,[0.5484 -0.5878 ],[0.0443 -0.0443 ],0.0627,[-17.7277 17.7277 ],25.0708,0.0025,128.0000,0.0100
