n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
82,-8.5788,[-1.2544 1.6547 ],[-0.0108 0.0138 ],0.0176,[1.0922 -1.3990 ],1.7748,0.0099,0.0001
83,-8.6099,[-1.2652 1.6685 ],[-0.0107 0.0137 ],0.0174,[1.0827 -1.3869 ],1.7594,0.0099,0.0001
84,-8.6404,[-1.2759 1.6822 ],[-0.0106 0.0136 ],0.0173,[1.0733 -1.3748 ],1.7442,0.0099,0.0001
85,-8.6704,[-1.2866 1.6958 ],[-0.0105 0.0135 ],0.0171,[1.0640 -1.3629 ],1.7290,0.0099,0.0001
86,-8.6998,[-1.2971 1.7093 ],[-0.0104 0.0134 ],0.0170,[1.0548 -1.3511 ],1.7140,0.0099,0.0001
87,-8.7288,[-1.3075 1.7227 ],[-0.0103 0.0133 ],0.0168,[1.0456 -1.3393 ],1.6992,0.0099,0.0001
88,-8.7572,[-1.3179 1.7359 ],[-0.0103 0.0131 ],0.0167,[1.0366 -1.3277 ],1.6844,0.0099,0.0001
89,-8.7852,[-1.3281 1.7491 ],[-0.0102 0.0130 ],0.0165,[1.0276 -1.3162 ],1.6698,0.0099,0.0001
90,-8.8126,[-1.3383 1.7621 ],[-0.0101 0.0129 ],0.0164,[1.0187 -1.3048 ],1.6553,0.0099,0.0001
91,-8.8396,[-1.3484 1.7750 ],[-0.0100 0.0128 ],0.0162,[1.0098 -1.2934 ],1.6409,0.0099,0.0001
92,-8.8662,[-1.3584 1.7878 ],[-0.0099 0.0127 ],0.0161,[1.0011 -1.2822 ],1.6267,0.0099,0.0001
93,-8.8922,[-1.3683 1.8005 ],[-0.0098 0.0126 ],0.0160,[0.9924 -1.2711 ],1.6126,0.0099,0.0001
94,-8.9179,[-1.3781 1.8131 ],[-0.0097 0.0125 ],0.0158,[0.9838 -1.2600 ],1.5986,0.0099,0.0001
95,-8.9430,[-1.3878 1.8255 ],[-0.0097 0.0124 ],0.0157,[0.9752 -1.2491 ],1.5847,0.0099,0.0001
96,-8.9678,[-1.3975 1.8379 ],[-0.0096 0.0123 ],0.0155,[0.9668 -1.2383 ],1.5710,0.0099,0.0001
97,-8.9921,[-1.4070 1.8502 ],[-0.0095 0.0121 ],0.0154,[0.9584 -1.2275 ],1.5573,0.0099,0.0001
98,-9.0160,[-1.4165 1.8623 ],[-0.0094 0.0120 ],0.0153,[0.9501 -1.2169 ],1.5438,0.0099,0.0001
99,-9.0395,[-1.4259 1.8744 ],[-0.0093 0.0119 ],0.0151,[0.9418 -1.2063 ],1.5304,0.0099,0.0001
100,-9.0626,[-1.4353 1.8863 ],[-0.0092 0.0118 ],0.0150,[0.9337 -1.1958 ],1.5172,0.0099,0.0001
101,-9.0852,[-1.4445 1.8981 ],[-0.0092 0.0117 ],0.0149,[0.9256 -1.1855 ],1.5040,0.0099,0.0001
102,-9.1075,[-1.4536 1.9099 ],[-0.0091 0.0116 ],0.0148,[0.9175 -1.1752 ],1.4909,0.0099,0.0001
103,-9.1294,[-1.4627 1.9215 ],[-0.0090 0.0115 ],0.0146,[0.9096 -1.1650 ],1.4780,0.0099,0.0001
104,-9.1509,[-1.4717 1.9330 ],[-0.0089 0.0114 ],0.0145,[0.9017 -1.1549 ],1.4652,0.0099,0.0001
105,-9.1721,[-1.4807 1.9444 ],[-0.0088 0.0113 ],0.0144,[0.8938 -1.1448 ],1.4525,0.0099,0.0001
106,-9.1929,[-1.4895 1.9558 ],[-0.0088 0.0112 ],0.0142,[0.8861 -1.1349 ],1.4399,0.0099,0.0001
107,-9.2133,[-1.4983 1.9670 ],[-0.0087 0.0111 ],0.0141,[0.8784 -1.1251 ],1.4274,0.0099,0.0001
108,-9.2334,[-1.5070 1.9781 ],[-0.0086 0.0110 ],0.0140,[0.8708 -1.1153 ],1.4150,0.0099,0.0001
109,-9.2531,[-1.5156 1.9892 ],[-0.0085 0.0109 ],0.0139,[0.8632 -1.1056 ],1.4027,0.0099,0.0001
110,-9.2725,[-1.5241 2.0001 ],[-0.0085 0.0108 ],0.0138,[0.8557 -1.0960 ],1.3905,0.0099,0.0001
111,-9.2915,[-1.5326 2.0110 ],[-0.0084 0.0108 ],0.0136,[0.8483 -1.0865 ],1.3785,0.0099,0.0001
112,-9.3103,[-1.5410 2.0217 ],[-0.0083 0.0107 ],0.0135,[0.8410 -1.0771 ],1.3665,0.0099,0.0001
113,-9.3287,[-1.5493 2.0324 ],[-0.0082 0.0106 ],0.0134,[0.8337 -1.0677 ],1.3546,0.0099,0.0001
114,-9.3467,[-1.5576 2.0429 ],[-0.0082 0.0105 ],0.0133,[0.8264 -1.0585 ],1.3429,0.0099,0.0001
115,-9.3645,[-1.5657 2.0534 ],[-0.0081 0.0104 ],0.0132,[0.8193 -1.0493 ],1.3312,0.0099,0.0001
116,-9.3820,[-1.5738 2.0638 ],[-0.0080 0.0103 ],0.0131,[0.8121 -1.0402 ],1.3197,0.0099,0.0001
117,-9.3991,[-1.5819 2.0741 ],[-0.0080 0.0102 ],0.0129,[0.8051 -1.0312 ],1.3082,0.0099,0.0001
118,-9.4160,[-1.5898 2.0843 ],[-0.0079 0.0101 ],0.0128,[0.7981 -1.0222 ],1.2969,0.0099,0.0001
119,-9.4326,[-1.5977 2.0944 ],[-0.0078 0.0100 ],0.0127,[0.7912 -1.0133 ],1.2856,0.0099,0.0001
120,-9.4489,[-1.6056 2.1044 ],[-0.0078 0.0099 ],0.0126,[0.7843 -1.0045 ],1.2745,0.0099,0.0001
121,-9.4649,[-1.6133 2.1144 ],[-0.0077 0.0099 ],0.0125,[0.7775 -0.9958 ],1.2634,0.0099,0.0001
122,-9.4806,[-1.6210 2.1242 ],[-0.0076 0.0098 ],0.0124,[0.7708 -0.9872 ],1.2524,0.0099,0.0001
123,-9.4960,[-1.6287 2.1340 ],[-0.0076 0.0097 ],0.0123,[0.7641 -0.9786 ],1.2416,0.0099,0.0001
124,-9.5112,[-1.6362 2.1437 ],[-0.0075 0.0096 ],0.0122,[0.7574 -0.9701 ],1.2308,0.0099,0.0001
125,-9.5262,[-1.6437 2.1533 ],[-0.0074 0.0095 ],0.0121,[0.7509 -0.9617 ],1.2201,0.0099,0.0001
126,-9.5408,[-1.6511 2.1628 ],[-0.0074 0.0094 ],0.0120,[0.7444 -0.9534 ],1.2095,0.0099,0.0001
127,-9.5552,[-1.6585 2.1722 ],[-0.0073 0.0094 ],0.0119,[0.7379 -0.9451 ],1.1990,0.0099,0.0001
128,-9.5694,[-1.6658 2.1816 ],[-0.0072 0.0093 ],0.0118,[0.7315 -0.9369 ],1.1886,0.0099,0.0001
129,-9.5833,[-1.6730 2.1909 ],[-0.0072 0.0092 ],0.0117,[0.7251 -0.9288 ],1.1783,0.0099,0.0001
130,-9.5970,[-1.6802 2.2000 ],[-0.0071 0.0091 ],0.0116,[0.7189 -0.9207 ],1.1681,0.0099,0.0001
131,-9.6104,[-1.6873 2.2092 ],[-0.0071 0.0090 ],0.0115,[0.7126 -0.9127 ],1.1580,0.0099,0.0001
132,-9.6237,[-1.6944 2.2182 ],[-0.0070 0.0090 ],0.0114,[0.7064 -0.9048 ],1.1479,0.0099,0.0001
133,-9.6366,[-1.7014 2.2271 ],[-0.0069 0.0089 ],0.0113,[0.7003 -0.8969 ],1.1379,0.0099,0.0001
134,-9.6494,[-1.7083 2.2360 ],[-0.0069 0.0088 ],0.0112,[0.6942 -0.8892 ],1.1281,0.0099,0.0001
135,-9.6619,[-1.7152 2.2448 ],[-0.0068 0.0087 ],0.0111,[0.6882 -0.8814 ],1.1183,0.0099,0.0001
136,-9.6743,[-1.7220 2.2535 ],[-0.0068 0.0086 ],0.0110,[0.6822 -0.8738 ],1.1086,0.0099,0.0001
137,-9.6864,[-1.7287 2.2622 ],[-0.0067 0.0086 ],0.0109,[0.6763 -0.8662 ],1.0990,0.0099,0.0001
138,-9.6983,[-1.7354 2.2708 ],[-0.0066 0.0085 ],0.0108,[0.6704 -0.8587 ],1.0894,0.0099,0.0001
139,-9.7100,[-1.7421 2.2793 ],[-0.0066 0.0084 ],0.0107,[0.6646 -0.8512 ],1.0800,0.0099,0.0001
140,-9.7215,[-1.7486 2.2877 ],[-0.0065 0.0084 ],0.0106,[0.6589 -0.8439 ],1.0706,0.0099,0.0001
141,-9.7327,[-1.7552 2.2960 ],[-0.0065 0.0083 ],0.0105,[0.6531 -0.8365 ],1.0613,0.0099,0.0001
142,-9.7438,[-1.7616 2.3043 ],[-0.0064 0.0082 ],0.0104,[0.6475 -0.8293 ],1.0521,0.0099,0.0001
143,-9.7548,[-1.7680 2.3125 ],[-0.0064 0.0081 ],0.0103,[0.6419 -0.8221 ],1.0430,0.0099,0.0001
144,-9.7655,[-1.7744 2.3207 ],[-0.0063 0.0081 ],0.0102,[0.6363 -0.8149 ],1.0339,0.0099,0.0001
145,-9.7760,[-1.7807 2.3287 ],[-0.0062 0.0080 ],0.0101,[0.6308 -0.8079 ],1.0249,0.0099,0.0001
146,-9.7864,[-1.7869 2.3367 ],[-0.0062 0.0079 ],0.0101,[0.6253 -0.8009 ],1.0161,0.0099,0.0001
147,-9.7965,[-1.7931 2.3446 ],[-0.0061 0.0079 ],0.0100,[0.6199 -0.7939 ],1.0072,0.0099,0.0001
148,-9.8065,[-1.7992 2.3525 ],[-0.0061 0.0078 ],0.0099,[0.6145 -0.7870 ],0.9985,0.0099,0.0001
149,-9.8163,[-1.8053 2.3603 ],[-0.0060 0.0077 ],0.0098,[0.6092 -0.7802 ],0.9898,0.0099,0.0001
