n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
199,-10.1497,[-2.0588 2.6850 ],[-0.0039 0.0050 ],0.0063,[0.3869 -0.4955 ],0.6286,0.0100,0.0001
200,-10.1536,[-2.0627 2.6899 ],[-0.0038 0.0049 ],0.0062,[0.3835 -0.4911 ],0.6231,0.0100,0.0001
201,-10.1575,[-2.0665 2.6948 ],[-0.0038 0.0049 ],0.0062,[0.3801 -0.4868 ],0.6176,0.0100,0.0001
202,-10.1613,[-2.0703 2.6997 ],[-0.0038 0.0048 ],0.0061,[0.3768 -0.4826 ],0.6122,0.0100,0.0001
203,-10.1650,[-2.0741 2.7045 ],[-0.0037 0.0048 ],0.0061,[0.3735 -0.4783 ],0.6069,0.0100,0.0001
204,-10.1687,[-2.0778 2.7093 ],[-0.0037 0.0047 ],0.0060,[0.3702 -0.4741 ],0.6015,0.0100,0.0001
205,-10.1723,[-2.0815 2.7141 ],[-0.0037 0.0047 ],0.0060,[0.3669 -0.4700 ],0.5963,0.0100,0.0001
206,-10.1758,[-2.0852 2.7188 ],[-0.0036 0.0047 ],0.0059,[0.3637 -0.4659 ],0.5910,0.0100,0.0001
207,-10.1793,[-2.0888 2.7234 ],[-0.0036 0.0046 ],0.0059,[0.3605 -0.4618 ],0.5858,0.0100,0.0001
208,-10.1827,[-2.0925 2.7280 ],[-0.0036 0.0046 ],0.0058,[0.3574 -0.4577 ],0.5807,0.0100,0.0001
209,-10.1861,[-2.0960 2.7326 ],[-0.0035 0.0045 ],0.0058,[0.3542 -0.4537 ],0.5756,0.0100,0.0001
210,-10.1894,[-2.0996 2.7371 ],[-0.0035 0.0045 ],0.0057,[0.3511 -0.4497 ],0.5706,0.0100,0.0001
211,-10.1926,[-2.1031 2.7416 ],[-0.0035 0.0045 ],0.0057,[0.3481 -0.4458 ],0.5656,0.0100,0.0001
212,-10.1958,[-2.1066 2.7461 ],[-0.0035 0.0044 ],0.0056,[0.3450 -0.4419 ],0.5606,0.0100,0.0001
213,-10.1989,[-2.1100 2.7505 ],[-0.0034 0.0044 ],0.0056,[0.3420 -0.4380 ],0.5557,0.0100,0.0001
214,-10.2020,[-2.1134 2.7549 ],[-0.0034 0.0043 ],0.0055,[0.3390 -0.4342 ],0.5508,0.0100,0.0001
215,-10.2050,[-2.1168 2.7592 ],[-0.0034 0.0043 ],0.0055,[0.3360 -0.4303 ],0.5460,0.0100,0.0001
216,-10.2080,[-2.1202 2.7635 ],[-0.0033 0.0043 ],0.0054,[0.3331 -0.4266 ],0.5412,0.0100,0.0001
217,-10.2109,[-2.1235 2.7678 ],[-0.0033 0.0042 ],0.0054,[0.3301 -0.4228 ],0.5365,0.0100,0.0001
218,-10.2138,[-2.1268 2.7720 ],[-0.0033 0.0042 ],0.0053,[0.3272 -0.4191 ],0.5317,0.0100,0.0001
219,-10.2166,[-2.1301 2.7762 ],[-0.0032 0.0042 ],0.0053,[0.3244 -0.4155 ],0.5271,0.0100,0.0001
220,-10.2194,[-2.1333 2.7804 ],[-0.0032 0.0041 ],0.0052,[0.3215 -0.4118 ],0.5225,0.0100,0.0001
221,-10.2221,[-2.1365 2.7845 ],[-0.0032 0.0041 ],0.0052,[0.3187 -0.4082 ],0.5179,0.0100,0.0001
222,-10.2247,[-2.1397 2.7886 ],[-0.0032 0.0040 ],0.0051,[0.3159 -0.4046 ],0.5133,0.0100,0.0001
223,-10.2274,[-2.1429 2.7926 ],[-0.0031 0.0040 ],0.0051,[0.3131 -0.4011 ],0.5088,0.0100,0.0001
224,-10.2299,[-2.1460 2.7966 ],[-0.0031 0.0040 ],0.0050,[0.3104 -0.3976 ],0.5044,0.0100,0.0001
225,-10.2325,[-2.1491 2.8006 ],[-0.0031 0.0039 ],0.0050,[0.3077 -0.3941 ],0.5000,0.0100,0.0001
226,-10.2350,[-2.1522 2.8046 ],[-0.0030 0.0039 ],0.0050,[0.3050 -0.3906 ],0.4956,0.0100,0.0001
227,-10.2374,[-2.1553 2.8085 ],[-0.0030 0.0039 ],0.0049,[0.3023 -0.3872 ],0.4912,0.0100,0.0001
228,-10.2398,[-2.1583 2.8123 ],[-0.0030 0.0038 ],0.0049,[0.2997 -0.3838 ],0.4869,0.0100,0.0001
229,-10.2422,[-2.1613 2.8162 ],[-0.0030 0.0038 ],0.0048,[0.2970 -0.3804 ],0.4826,0.0100,0.0001
230,-10.2445,[-2.1642 2.8200 ],[-0.0029 0.0038 ],0.0048,[0.2944 -0.3771 ],0.4784,0.0100,0.0001
231,-10.2468,[-2.1672 2.8237 ],[-0.0029 0.0037 ],0.0047,[0.2918 -0.3738 ],0.4742,0.0100,0.0001
232,-10.2490,[-2.1701 2.8275 ],[-0.0029 0.0037 ],0.0047,[0.2893 -0.3705 ],0.4701,0.0100,0.0001
233,-10.2512,[-2.1730 2.8312 ],[-0.0029 0.0037 ],0.0047,[0.2867 -0.3673 ],0.4659,0.0100,0.0001
234,-10.2534,[-2.1759 2.8349 ],[-0.0028 0.0036 ],0.0046,[0.2842 -0.3640 ],0.4619,0.0100,0.0001
235,-10.2555,[-2.1787 2.8385 ],[-0.0028 0.0036 ],0.0046,[0.2817 -0.3608 ],0.4578,0.0100,0.0001
236,-10.2576,[-2.1815 2.8421 ],[-0.0028 0.0036 ],0.0045,[0.2793 -0.3577 ],0.4538,0.0100,0.0001
237,-10.2596,[-2.1843 2.8457 ],[-0.0028 0.0035 ],0.0045,[0.2768 -0.3545 ],0.4498,0.0100,0.0001
238,-10.2616,[-2.1871 2.8492 ],[-0.0027 0.0035 ],0.0045,[0.2744 -0.3514 ],0.4459,0.0100,0.0001
239,-10.2636,[-2.1898 2.8527 ],[-0.0027 0.0035 ],0.0044,[0.2720 -0.3484 ],0.4420,0.0100,0.0001
240,-10.2656,[-2.1926 2.8562 ],[-0.0027 0.0035 ],0.0044,[0.2696 -0.3453 ],0.4381,0.0100,0.0001
241,-10.2675,[-2.1952 2.8597 ],[-0.0027 0.0034 ],0.0043,[0.2672 -0.3423 ],0.4342,0.0100,0.0001
242,-10.2694,[-2.1979 2.8631 ],[-0.0026 0.0034 ],0.0043,[0.2649 -0.3393 ],0.4304,0.0100,0.0001
243,-10.2712,[-2.2006 2.8665 ],[-0.0026 0.0034 ],0.0043,[0.2626 -0.3363 ],0.4267,0.0100,0.0001
244,-10.2730,[-2.2032 2.8699 ],[-0.0026 0.0033 ],0.0042,[0.2603 -0.3333 ],0.4229,0.0100,0.0001
245,-10.2748,[-2.2058 2.8732 ],[-0.0026 0.0033 ],0.0042,[0.2580 -0.3304 ],0.4192,0.0100,0.0001
246,-10.2765,[-2.2084 2.8765 ],[-0.0026 0.0033 ],0.0042,[0.2557 -0.3275 ],0.4155,0.0100,0.0001
247,-10.2783,[-2.2109 2.8798 ],[-0.0025 0.0032 ],0.0041,[0.2535 -0.3247 ],0.4119,0.0100,0.0001
248,-10.2800,[-2.2135 2.8830 ],[-0.0025 0.0032 ],0.0041,[0.2513 -0.3218 ],0.4083,0.0100,0.0001
249,-10.2816,[-2.2160 2.8862 ],[-0.0025 0.0032 ],0.0040,[0.2491 -0.3190 ],0.4047,0.0100,0.0001
250,-10.2832,[-2.2185 2.8894 ],[-0.0025 0.0032 ],0.0040,[0.2469 -0.3162 ],0.4011,0.0100,0.0001
251,-10.2848,[-2.2209 2.8926 ],[-0.0024 0.0031 ],0.0040,[0.2447 -0.3134 ],0.3976,0.0100,0.0001
252,-10.2864,[-2.2234 2.8957 ],[-0.0024 0.0031 ],0.0039,[0.2426 -0.3107 ],0.3941,0.0100,0.0001
253,-10.2880,[-2.2258 2.8988 ],[-0.0024 0.0031 ],0.0039,[0.2404 -0.3079 ],0.3907,0.0100,0.0001
254,-10.2895,[-2.2282 2.9019 ],[-0.0024 0.0031 ],0.0039,[0.2383 -0.3052 ],0.3873,0.0100,0.0001
255,-10.2910,[-2.2306 2.9050 ],[-0.0024 0.0030 ],0.0038,[0.2362 -0.3026 ],0.3839,0.0100,0.0001
256,-10.2924,[-2.2330 2.9080 ],[-0.0023 0.0030 ],0.0038,[0.2342 -0.2999 ],0.3805,0.0100,0.0001
257,-10.2939,[-2.2353 2.9110 ],[-0.0023 0.0030 ],0.0038,[0.2321 -0.2973 ],0.3772,0.0100,0.0001
258,-10.2953,[-2.2376 2.9140 ],[-0.0023 0.0029 ],0.0037,[0.2301 -0.2947 ],0.3739,0.0100,0.0001
259,-10.2967,[-2.2399 2.9169 ],[-0.0023 0.0029 ],0.0037,[0.2281 -0.2921 ],0.3706,0.0100,0.0001
260,-10.2981,[-2.2422 2.9198 ],[-0.0023 0.0029 ],0.0037,[0.2261 -0.2895 ],0.3673,0.0100,0.0001
261,-10.2994,[-2.2445 2.9227 ],[-0.0022 0.0029 ],0.0036,[0.2241 -0.2870 ],0.3641,0.0100,0.0001
262,-10.3007,[-2.2467 2.9256 ],[-0.0022 0.0028 ],0.0036,[0.2221 -0.2845 ],0.3609,0.0100,0.0001
263,-10.3020,[-2.2489 2.9284 ],[-0.0022 0.0028 ],0.0036,[0.2202 -0.2820 ],0.3577,0.0100,0.0001
264,-10.3033,[-2.2511 2.9313 ],[-0.0022 0.0028 ],0.0035,[0.2182 -0.2795 ],0.3546,0.0100,0.0001
265,-10.3046,[-2.2533 2.9341 ],[-0.0022 0.0028 ],0.0035,[0.2163 -0.2771 ],0.3515,0.0100,0.0001
266,-10.3058,[-2.2555 2.9368 ],[-0.0021 0.0027 ],0.0035,[0.2144 -0.2746 ],0.3484,0.0100,0.0001
267,-10.3070,[-2.2576 2.9396 ],[-0.0021 0.0027 ],0.0035,[0.2125 -0.2722 ],0.3454,0.0100,0.0001
268,-10.3082,[-2.2597 2.9423 ],[-0.0021 0.0027 ],0.0034,[0.2107 -0.2698 ],0.3423,0.0100,0.0001
269,-10.3093,[-2.2619 2.9450 ],[-0.0021 0.0027 ],0.0034,[0.2088 -0.2675 ],0.3393,0.0100,0.0001
270,-10.3105,[-2.2639 2.9477 ],[-0.0021 0.0027 ],0.0034,[0.2070 -0.2651 ],0.3364,0.0100,0.0001
271,-10.3116,[-2.2660 2.9503 ],[-0.0021 0.0026 ],0.0033,[0.2052 -0.2628 ],0.3334,0.0100,0.0001
272,-10.3127,[-2.2681 2.9529 ],[-0.0020 0.0026 ],0.0033,[0.2034 -0.2605 ],0.3305,0.0100,0.0001
273,-10.3138,[-2.2701 2.9555 ],[-0.0020 0.0026 ],0.0033,[0.2016 -0.2582 ],0.3276,0.0100,0.0001
274,-10.3149,[-2.2721 2.9581 ],[-0.0020 0.0026 ],0.0032,[0.1998 -0.2559 ],0.3247,0.0100,0.0001
275,-10.3159,[-2.2741 2.9607 ],[-0.0020 0.0025 ],0.0032,[0.1981 -0.2537 ],0.3219,0.0100,0.0001
276,-10.3170,[-2.2761 2.9632 ],[-0.0020 0.0025 ],0.0032,[0.1963 -0.2515 ],0.3190,0.0100,0.0001
277,-10.3180,[-2.2781 2.9657 ],[-0.0019 0.0025 ],0.0032,[0.1946 -0.2493 ],0.3162,0.0100,0.0001
278,-10.3190,[-2.2800 2.9682 ],[-0.0019 0.0025 ],0.0031,[0.1929 -0.2471 ],0.3135,0.0100,0.0001
279,-10.3199,[-2.2819 2.9707 ],[-0.0019 0.0024 ],0.0031,[0.1912 -0.2449 ],0.3107,0.0100,0.0001
280,-10.3209,[-2.2838 2.9732 ],[-0.0019 0.0024 ],0.0031,[0.1895 -0.2428 ],0.3080,0.0100,0.0001
281,-10.3219,[-2.2857 2.9756 ],[-0.0019 0.0024 ],0.0031,[0.1879 -0.2406 ],0.3053,0.0100,0.0001
282,-10.3228,[-2.2876 2.9780 ],[-0.0019 0.0024 ],0.0030,[0.1862 -0.2385 ],0.3026,0.0100,0.0001
283,-10.3237,[-2.2895 2.9804 ],[-0.0018 0.0024 ],0.0030,[0.1846 -0.2364 ],0.3000,0.0100,0.0001
284,-10.3246,[-2.2913 2.9827 ],[-0.0018 0.0023 ],0.0030,[0.1830 -0.2344 ],0.2973,0.0100,0.0001
285,-10.3255,[-2.2932 2.9851 ],[-0.0018 0.0023 ],0.0029,[0.1814 -0.2323 ],0.2947,0.0100,0.0001
286,-10.3263,[-2.2950 2.9874 ],[-0.0018 0.0023 ],0.0029,[0.1798 -0.2303 ],0.2921,0.0100,0.0001
287,-10.3272,[-2.2968 2.9897 ],[-0.0018 0.0023 ],0.0029,[0.1782 -0.2283 ],0.2896,0.0100,0.0001
288,-10.3280,[-2.2985 2.9920 ],[-0.0018 0.0023 ],0.0029,[0.1767 -0.2262 ],0.2870,0.0100,0.0001
289,-10.3288,[-2.3003 2.9943 ],[-0.0018 0.0022 ],0.0028,[0.1751 -0.2243 ],0.2845,0.0100,0.0001
290,-10.3296,[-2.3021 2.9965 ],[-0.0017 0.0022 ],0.0028,[0.1736 -0.2223 ],0.2820,0.0100,0.0001
291,-10.3304,[-2.3038 2.9987 ],[-0.0017 0.0022 ],0.0028,[0.1720 -0.2203 ],0.2796,0.0100,0.0001
292,-10.3312,[-2.3055 3.0009 ],[-0.0017 0.0022 ],0.0028,[0.1705 -0.2184 ],0.2771,0.0100,0.0001
293,-10.3320,[-2.3072 3.0031 ],[-0.0017 0.0022 ],0.0027,[0.1690 -0.2165 ],0.2747,0.0100,0.0001
294,-10.3327,[-2.3089 3.0053 ],[-0.0017 0.0021 ],0.0027,[0.1676 -0.2146 ],0.2723,0.0100,0.0001
295,-10.3335,[-2.3106 3.0074 ],[-0.0017 0.0021 ],0.0027,[0.1661 -0.2127 ],0.2699,0.0100,0.0001
296,-10.3342,[-2.3123 3.0095 ],[-0.0016 0.0021 ],0.0027,[0.1646 -0.2109 ],0.2675,0.0100,0.0001
297,-10.3349,[-2.3139 3.0117 ],[-0.0016 0.0021 ],0.0027,[0.1632 -0.2090 ],0.2652,0.0100,0.0001
298,-10.3356,[-2.3155 3.0137 ],[-0.0016 0.0021 ],0.0026,[0.1618 -0.2072 ],0.2628,0.0100,0.0001
299,-10.3363,[-2.3172 3.0158 ],[-0.0016 0.0021 ],0.0026,[0.1603 -0.2054 ],0.2605,0.0100,0.0001
300,-10.3370,[-2.3188 3.0179 ],[-0.0016 0.0020 ],0.0026,[0.1589 -0.2036 ],0.2583,0.0100,0.0001
301,-10.3376,[-2.3203 3.0199 ],[-0.0016 0.0020 ],0.0026,[0.1575 -0.2018 ],0.2560,0.0100,0.0001
302,-10.3383,[-2.3219 3.0219 ],[-0.0016 0.0020 ],0.0025,[0.1562 -0.2000 ],0.2537,0.0100,0.0001
303,-10.3389,[-2.3235 3.0239 ],[-0.0015 0.0020 ],0.0025,[0.1548 -0.1982 ],0.2515,0.0100,0.0001
304,-10.3396,[-2.3250 3.0259 ],[-0.0015 0.0020 ],0.0025,[0.1534 -0.1965 ],0.2493,0.0100,0.0001
305,-10.3402,[-2.3266 3.0279 ],[-0.0015 0.0019 ],0.0025,[0.1521 -0.1948 ],0.2471,0.0100,0.0001
306,-10.3408,[-2.3281 3.0298 ],[-0.0015 0.0019 ],0.0024,[0.1508 -0.1931 ],0.2450,0.0100,0.0001
307,-10.3414,[-2.3296 3.0317 ],[-0.0015 0.0019 ],0.0024,[0.1494 -0.1914 ],0.2428,0.0100,0.0001
308,-10.3420,[-2.3311 3.0337 ],[-0.0015 0.0019 ],0.0024,[0.1481 -0.1897 ],0.2407,0.0100,0.0001
309,-10.3425,[-2.3326 3.0356 ],[-0.0015 0.0019 ],0.0024,[0.1468 -0.1880 ],0.2386,0.0100,0.0001
310,-10.3431,[-2.3340 3.0374 ],[-0.0015 0.0019 ],0.0024,[0.1455 -0.1864 ],0.2365,0.0100,0.0001
311,-10.3437,[-2.3355 3.0393 ],[-0.0014 0.0018 ],0.0023,[0.1443 -0.1848 ],0.2344,0.0100,0.0001
312,-10.3442,[-2.3369 3.0411 ],[-0.0014 0.0018 ],0.0023,[0.1430 -0.1831 ],0.2324,0.0100,0.0001
313,-10.3448,[-2.3384 3.0430 ],[-0.0014 0.0018 ],0.0023,[0.1417 -0.1815 ],0.2303,0.0100,0.0001
314,-10.3453,[-2.3398 3.0448 ],[-0.0014 0.0018 ],0.0023,[0.1405 -0.1799 ],0.2283,0.0100,0.0001
315,-10.3458,[-2.3412 3.0466 ],[-0.0014 0.0018 ],0.0023,[0.1393 -0.1784 ],0.2263,0.0100,0.0001
316,-10.3463,[-2.3426 3.0484 ],[-0.0014 0.0018 ],0.0022,[0.1380 -0.1768 ],0.2243,0.0100,0.0001
317,-10.3468,[-2.3440 3.0501 ],[-0.0014 0.0018 ],0.0022,[0.1368 -0.1753 ],0.2223,0.0100,0.0001
318,-10.3473,[-2.3453 3.0519 ],[-0.0014 0.0017 ],0.0022,[0.1356 -0.1737 ],0.2204,0.0100,0.0001
319,-10.3478,[-2.3467 3.0536 ],[-0.0013 0.0017 ],0.0022,[0.1344 -0.1722 ],0.2185,0.0100,0.0001
320,-10.3483,[-2.3480 3.0554 ],[-0.0013 0.0017 ],0.0022,[0.1333 -0.1707 ],0.2165,0.0100,0.0001
321,-10.3487,[-2.3494 3.0571 ],[-0.0013 0.0017 ],0.0021,[0.1321 -0.1692 ],0.2146,0.0100,0.0001
322,-10.3492,[-2.3507 3.0588 ],[-0.0013 0.0017 ],0.0021,[0.1309 -0.1677 ],0.2128,0.0100,0.0001
323,-10.3496,[-2.3520 3.0604 ],[-0.0013 0.0017 ],0.0021,[0.1298 -0.1662 ],0.2109,0.0100,0.0001
324,-10.3501,[-2.3533 3.0621 ],[-0.0013 0.0016 ],0.0021,[0.1287 -0.1648 ],0.2090,0.0100,0.0001
325,-10.3505,[-2.3546 3.0637 ],[-0.0013 0.0016 ],0.0021,[0.1275 -0.1633 ],0.2072,0.0100,0.0001
326,-10.3509,[-2.3559 3.0654 ],[-0.0013 0.0016 ],0.0021,[0.1264 -0.1619 ],0.2054,0.0100,0.0001
327,-10.3514,[-2.3571 3.0670 ],[-0.0013 0.0016 ],0.0020,[0.1253 -0.1605 ],0.2036,0.0100,0.0001
328,-10.3518,[-2.3584 3.0686 ],[-0.0012 0.0016 ],0.0020,[0.1242 -0.1591 ],0.2018,0.0100,0.0001
329,-10.3522,[-2.3596 3.0702 ],[-0.0012 0.0016 ],0.0020,[0.1231 -0.1577 ],0.2000,0.0100,0.0001
330,-10.3526,[-2.3608 3.0718 ],[-0.0012 0.0016 ],0.0020,[0.1220 -0.1563 ],0.1983,0.0100,0.0001
331,-10.3530,[-2.3621 3.0733 ],[-0.0012 0.0015 ],0.0020,[0.1210 -0.1549 ],0.1965,0.0100,0.0001
332,-10.3534,[-2.3633 3.0749 ],[-0.0012 0.0015 ],0.0019,[0.1199 -0.1536 ],0.1948,0.0100,0.0001
333,-10.3537,[-2.3645 3.0764 ],[-0.0012 0.0015 ],0.0019,[0.1188 -0.1522 ],0.1931,0.0100,0.0001
334,-10.3541,[-2.3657 3.0779 ],[-0.0012 0.0015 ],0.0019,[0.1178 -0.1509 ],0.1914,0.0100,0.0001
335,-10.3545,[-2.3668 3.0794 ],[-0.0012 0.0015 ],0.0019,[0.1168 -0.1496 ],0.1897,0.0100,0.0001
336,-10.3548,[-2.3680 3.0809 ],[-0.0012 0.0015 ],0.0019,[0.1157 -0.1482 ],0.1881,0.0100,0.0001
337,-10.3552,[-2.3692 3.0824 ],[-0.0011 0.0015 ],0.0019,[0.1147 -0.1469 ],0.1864,0.0100,0.0001
338,-10.3555,[-2.3703 3.0839 ],[-0.0011 0.0015 ],0.0018,[0.1137 -0.1457 ],0.1848,0.0100,0.0001
339,-10.3559,[-2.3714 3.0854 ],[-0.0011 0.0014 ],0.0018,[0.1127 -0.1444 ],0.1832,0.0100,0.0001
340,-10.3562,[-2.3726 3.0868 ],[-0.0011 0.0014 ],0.0018,[0.1117 -0.1431 ],0.1816,0.0100,0.0001
341,-10.3565,[-2.3737 3.0882 ],[-0.0011 0.0014 ],0.0018,[0.1108 -0.1419 ],0.1800,0.0100,0.0001
342,-10.3569,[-2.3748 3.0896 ],[-0.0011 0.0014 ],0.0018,[0.1098 -0.1406 ],0.1784,0.0100,0.0001
343,-10.3572,[-2.3759 3.0911 ],[-0.0011 0.0014 ],0.0018,[0.1088 -0.1394 ],0.1768,0.0100,0.0001
344,-10.3575,[-2.3770 3.0924 ],[-0.0011 0.0014 ],0.0018,[0.1079 -0.1382 ],0.1753,0.0100,0.0001
345,-10.3578,[-2.3781 3.0938 ],[-0.0011 0.0014 ],0.0017,[0.1069 -0.1369 ],0.1737,0.0100,0.0001
346,-10.3581,[-2.3791 3.0952 ],[-0.0011 0.0014 ],0.0017,[0.1060 -0.1357 ],0.1722,0.0100,0.0001
347,-10.3584,[-2.3802 3.0966 ],[-0.0011 0.0013 ],0.0017,[0.1051 -0.1346 ],0.1707,0.0100,0.0001
348,-10.3587,[-2.3812 3.0979 ],[-0.0010 0.0013 ],0.0017,[0.1041 -0.1334 ],0.1692,0.0100,0.0001
349,-10.3590,[-2.3823 3.0992 ],[-0.0010 0.0013 ],0.0017,[0.1032 -0.1322 ],0.1677,0.0100,0.0001
350,-10.3592,[-2.3833 3.1006 ],[-0.0010 0.0013 ],0.0017,[0.1023 -0.1310 ],0.1663,0.0100,0.0001
351,-10.3595,[-2.3843 3.1019 ],[-0.0010 0.0013 ],0.0016,[0.1014 -0.1299 ],0.1648,0.0100,0.0001
352,-10.3598,[-2.3854 3.1032 ],[-0.0010 0.0013 ],0.0016,[0.1005 -0.1288 ],0.1634,0.0100,0.0001
353,-10.3600,[-2.3864 3.1045 ],[-0.0010 0.0013 ],0.0016,[0.0997 -0.1276 ],0.1619,0.0100,0.0001
354,-10.3603,[-2.3874 3.1057 ],[-0.0010 0.0013 ],0.0016,[0.0988 -0.1265 ],0.1605,0.0100,0.0001
355,-10.3606,[-2.3883 3.1070 ],[-0.0010 0.0013 ],0.0016,[0.0979 -0.1254 ],0.1591,0.0100,0.0001
356,-10.3608,[-2.3893 3.1082 ],[-0.0010 0.0012 ],0.0016,[0.0971 -0.1243 ],0.1577,0.0100,0.0001
357,-10.3611,[-2.3903 3.1095 ],[-0.0010 0.0012 ],0.0016,[0.0962 -0.1232 ],0.1563,0.0100,0.0001
358,-10.3613,[-2.3913 3.1107 ],[-0.0010 0.0012 ],0.0015,[0.0954 -0.1221 ],0.1550,0.0100,0.0001
359,-10.3615,[-2.3922 3.1119 ],[-0.0009 0.0012 ],0.0015,[0.0945 -0.1211 ],0.1536,0.0100,0.0001
360,-10.3618,[-2.3932 3.1132 ],[-0.0009 0.0012 ],0.0015,[0.0937 -0.1200 ],0.1522,0.0100,0.0001
361,-10.3620,[-2.3941 3.1144 ],[-0.0009 0.0012 ],0.0015,[0.0929 -0.1189 ],0.1509,0.0100,0.0001
362,-10.3622,[-2.3950 3.1155 ],[-0.0009 0.0012 ],0.0015,[0.0921 -0.1179 ],0.1496,0.0100,0.0001
363,-10.3625,[-2.3959 3.1167 ],[-0.0009 0.0012 ],0.0015,[0.0912 -0.1169 ],0.1483,0.0100,0.0001
364,-10.3627,[-2.3969 3.1179 ],[-0.0009 0.0012 ],0.0015,[0.0904 -0.1158 ],0.1470,0.0100,0.0001
365,-10.3629,[-2.3978 3.1190 ],[-0.0009 0.0011 ],0.0015,[0.0897 -0.1148 ],0.1457,0.0100,0.0001
366,-10.3631,[-2.3987 3.1202 ],[-0.0009 0.0011 ],0.0014,[0.0889 -0.1138 ],0.1444,0.0100,0.0001
367,-10.3633,[-2.3995 3.1213 ],[-0.0009 0.0011 ],0.0014,[0.0881 -0.1128 ],0.1431,0.0100,0.0001
368,-10.3635,[-2.4004 3.1225 ],[-0.0009 0.0011 ],0.0014,[0.0873 -0.1118 ],0.1419,0.0100,0.0001
369,-10.3637,[-2.4013 3.1236 ],[-0.0009 0.0011 ],0.0014,[0.0866 -0.1109 ],0.1406,0.0100,0.0001
370,-10.3639,[-2.4022 3.1247 ],[-0.0009 0.0011 ],0.0014,[0.0858 -0.1099 ],0.1394,0.0100,0.0001
371,-10.3641,[-2.4030 3.1258 ],[-0.0009 0.0011 ],0.0014,[0.0850 -0.1089 ],0.1382,0.0100,0.0001
372,-10.3643,[-2.4039 3.1269 ],[-0.0008 0.0011 ],0.0014,[0.0843 -0.1080 ],0.1370,0.0100,0.0001
373,-10.3645,[-2.4047 3.1280 ],[-0.0008 0.0011 ],0.0014,[0.0836 -0.1070 ],0.1358,0.0100,0.0001
374,-10.3647,[-2.4055 3.1290 ],[-0.0008 0.0011 ],0.0013,[0.0828 -0.1061 ],0.1346,0.0100,0.0001
375,-10.3649,[-2.4064 3.1301 ],[-0.0008 0.0011 ],0.0013,[0.0821 -0.1051 ],0.1334,0.0100,0.0001
376,-10.3650,[-2.4072 3.1311 ],[-0.0008 0.0010 ],0.0013,[0.0814 -0.1042 ],0.1322,0.0100,0.0001
377,-10.3652,[-2.4080 3.1322 ],[-0.0008 0.0010 ],0.0013,[0.0807 -0.1033 ],0.1311,0.0100,0.0001
378,-10.3654,[-2.4088 3.1332 ],[-0.0008 0.0010 ],0.0013,[0.0800 -0.1024 ],0.1299,0.0100,0.0001
379,-10.3655,[-2.4096 3.1342 ],[-0.0008 0.0010 ],0.0013,[0.0793 -0.1015 ],0.1288,0.0100,0.0001
380,-10.3657,[-2.4104 3.1353 ],[-0.0008 0.0010 ],0.0013,[0.0786 -0.1006 ],0.1277,0.0100,0.0001
381,-10.3659,[-2.4112 3.1363 ],[-0.0008 0.0010 ],0.0013,[0.0779 -0.0997 ],0.1265,0.0100,0.0001
382,-10.3660,[-2.4120 3.1373 ],[-0.0008 0.0010 ],0.0013,[0.0772 -0.0989 ],0.1254,0.0100,0.0001
383,-10.3662,[-2.4127 3.1382 ],[-0.0008 0.0010 ],0.0012,[0.0765 -0.0980 ],0.1243,0.0100,0.0001
384,-10.3663,[-2.4135 3.1392 ],[-0.0008 0.0010 ],0.0012,[0.0758 -0.0971 ],0.1232,0.0100,0.0001
385,-10.3665,[-2.4143 3.1402 ],[-0.0008 0.0010 ],0.0012,[0.0752 -0.0963 ],0.1222,0.0100,0.0001
386,-10.3666,[-2.4150 3.1412 ],[-0.0007 0.0010 ],0.0012,[0.0745 -0.0954 ],0.1211,0.0100,0.0001
387,-10.3668,[-2.4158 3.1421 ],[-0.0007 0.0009 ],0.0012,[0.0739 -0.0946 ],0.1200,0.0100,0.0001
388,-10.3669,[-2.4165 3.1431 ],[-0.0007 0.0009 ],0.0012,[0.0732 -0.0938 ],0.1190,0.0100,0.0001
389,-10.3671,[-2.4172 3.1440 ],[-0.0007 0.0009 ],0.0012,[0.0726 -0.0930 ],0.1179,0.0100,0.0001
390,-10.3672,[-2.4180 3.1449 ],[-0.0007 0.0009 ],0.0012,[0.0719 -0.0921 ],0.1169,0.0100,0.0001
391,-10.3673,[-2.4187 3.1459 ],[-0.0007 0.0009 ],0.0012,[0.0713 -0.0913 ],0.1159,0.0100,0.0001
392,-10.3675,[-2.4194 3.1468 ],[-0.0007 0.0009 ],0.0011,[0.0707 -0.0905 ],0.1149,0.0100,0.0001
393,-10.3676,[-2.4201 3.1477 ],[-0.0007 0.0009 ],0.0011,[0.0701 -0.0897 ],0.1138,0.0100,0.0001
394,-10.3677,[-2.4208 3.1486 ],[-0.0007 0.0009 ],0.0011,[0.0694 -0.0889 ],0.1128,0.0100,0.0001
395,-10.3679,[-2.4215 3.1495 ],[-0.0007 0.0009 ],0.0011,[0.0688 -0.0882 ],0.1119,0.0100,0.0001
396,-10.3680,[-2.4222 3.1503 ],[-0.0007 0.0009 ],0.0011,[0.0682 -0.0874 ],0.1109,0.0100,0.0001
397,-10.3681,[-2.4229 3.1512 ],[-0.0007 0.0009 ],0.0011,[0.0676 -0.0866 ],0.1099,0.0100,0.0001
