n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
46,-8.0823,[-1.0928 1.4476 ],[-2.4568 3.1477 ],3.9930,[1.2338 -1.5807 ],2.0052,0.0099,0.0001
47,-8.1609,[-1.1171 1.4787 ],[-1.2125 1.5534 ],1.9706,[1.2125 -1.5534 ],1.9706,0.0099,0.0001
48,-8.1991,[-1.1291 1.4941 ],[-2.3936 3.0664 ],3.8900,[1.2020 -1.5399 ],1.9535,0.0099,0.0001
49,-8.2737,[-1.1528 1.5244 ],[-1.1813 1.5132 ],1.9197,[1.1813 -1.5132 ],1.9197,0.0099,0.0001
50,-8.3100,[-1.1644 1.5394 ],[-2.3319 2.9872 ],3.7896,[1.1710 -1.5001 ],1.9030,0.0099,0.0001
51,-8.3807,[-1.1875 1.5690 ],[-1.1508 1.4742 ],1.8702,[1.1508 -1.4742 ],1.8702,0.0099,0.0001
52,-8.4152,[-1.1989 1.5836 ],[-2.2718 2.9100 ],3.6918,[1.1408 -1.4614 ],1.8539,0.0099,0.0001
53,-8.4824,[-1.2214 1.6124 ],[-1.1211 1.4361 ],1.8219,[1.1211 -1.4361 ],1.8219,0.0099,0.0001
54,-8.5151,[-1.2325 1.6266 ],[-2.2132 2.8349 ],3.5965,[1.1114 -1.4236 ],1.8061,0.0099,0.0001
55,-8.5788,[-1.2544 1.6546 ],[-1.0922 1.3990 ],1.7749,[1.0922 -1.3990 ],1.7749,0.0099,0.0001
56,-8.6098,[-1.2652 1.6685 ],[-2.1561 2.7617 ],3.5037,[1.0827 -1.3869 ],1.7595,0.0099,0.0001
57,-8.6703,[-1.2865 1.6958 ],[-1.0640 1.3629 ],1.7291,[1.0640 -1.3629 ],1.7291,0.0099,0.0001
58,-8.6998,[-1.2971 1.7093 ],[-2.1005 2.6904 ],3.4133,[1.0548 -1.3511 ],1.7141,0.0099,0.0001
59,-8.7571,[-1.3178 1.7359 ],[-1.0366 1.3277 ],1.6844,[1.0366 -1.3277 ],1.6844,0.0099,0.0001
60,-8.7851,[-1.3281 1.7491 ],[-2.0463 2.6210 ],3.3252,[1.0276 -1.3162 ],1.6698,0.0099,0.0001
61,-8.8396,[-1.3483 1.7750 ],[-1.0099 1.2934 ],1.6410,[1.0099 -1.2934 ],1.6410,0.0099,0.0001
62,-8.8661,[-1.3583 1.7878 ],[-1.9935 2.5533 ],3.2394,[1.0011 -1.2822 ],1.6267,0.0099,0.0001
63,-8.9178,[-1.3781 1.8131 ],[-0.9838 1.2601 ],1.5986,[0.9838 -1.2601 ],1.5986,0.0099,0.0001
64,-8.9430,[-1.3878 1.8255 ],[-1.9421 2.4874 ],3.1558,[0.9753 -1.2491 ],1.5848,0.0099,0.0001
65,-8.9920,[-1.4070 1.8501 ],[-0.9584 1.2275 ],1.5574,[0.9584 -1.2275 ],1.5574,0.0099,0.0001
66,-9.0159,[-1.4165 1.8623 ],[-1.8919 2.4232 ],3.0743,[0.9501 -1.2169 ],1.5439,0.0099,0.0001
