n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
45,-161.6998,[6.3955 -6.4440 ],[3.3270 -10.9939 ],11.4863,[-3.3270 10.9939 ],11.4863,0.0077,127,0.0001
46,-162.4913,[6.4212 -6.5292 ],[13.9523 -13.9144 ],19.7047,[-10.7538 3.3454 ],11.2621,0.0077,127,0.0001
47,-163.9899,[6.5293 -6.6369 ],[10.5009 -3.1669 ],10.9680,[-10.5009 3.1669 ],10.9680,0.0077,127,0.0001
48,-164.7109,[6.6105 -6.6614 ],[13.2794 -13.3158 ],18.8057,[-3.1847 10.2714 ],10.7538,0.0077,127,0.0001
49,-166.0758,[6.7133 -6.7645 ],[3.0146 -10.0298 ],10.4730,[-3.0146 10.0298 ],10.4730,0.0077,127,0.0001
50,-166.7326,[6.7367 -6.8421 ],[12.7085 -12.6734 ],17.9477,[-9.8105 3.0319 ],10.2683,0.0077,127,0.0001
51,-167.9759,[6.8351 -6.9402 ],[9.5796 -2.8698 ],10.0002,[-9.5796 2.8698 ],10.0002,0.0077,127,0.0001
52,-168.5741,[6.9092 -6.9624 ],[12.0951 -12.1288 ],17.1289,[-2.8865 9.3702 ],9.8047,0.0077,127,0.0001
53,-169.7065,[7.0029 -7.0563 ],[2.7321 -9.1495 ],9.5487,[-2.7321 9.1495 ],9.5487,0.0077,127,0.0001
54,-170.2514,[7.0240 -7.1272 ],[11.5756 -11.5432 ],16.3475,[-8.9494 2.7483 ],9.3619,0.0077,127,0.0001
55,-171.2830,[7.1136 -7.2165 ],[8.7386 -2.6012 ],9.1175,[-8.7386 2.6012 ],9.1175,0.0077,127,0.0001
56,-171.7793,[7.1813 -7.2367 ],[11.0165 -11.0476 ],15.6017,[-2.6168 8.5473 ],8.9389,0.0077,127,0.0001
57,-172.7189,[7.2665 -7.3222 ],[2.4766 -8.3459 ],8.7056,[-2.4766 8.3459 ],8.7056,0.0077,127,0.0001
58,-173.1710,[7.2857 -7.3868 ],[10.5437 -10.5138 ],14.8900,[-8.1632 2.4918 ],8.5350,0.0077,127,0.0001
59,-174.0268,[7.3673 -7.4682 ],[7.9708 -2.3582 ],8.3123,[-7.9708 2.3582 ],8.3123,0.0077,127,0.0001
60,-174.4386,[7.4290 -7.4864 ],[10.0341 -10.0628 ],14.2107,[-2.3728 7.7962 ],8.1493,0.0077,127,0.0001
61,-175.2181,[7.5067 -7.5643 ],[2.2455 -7.6124 ],7.9367,[-2.2455 7.6124 ],7.9367,0.0077,127,0.0001
62,-175.5932,[7.5241 -7.6233 ],[9.6039 -9.5763 ],13.5624,[-7.4456 2.2596 ],7.7810,0.0077,127,0.0001
63,-176.3033,[7.5985 -7.6974 ],[7.2700 -2.1383 ],7.5779,[-7.2700 2.1383 ],7.5779,0.0077,127,0.0001
