n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,10.0000,[0.0000 0.0000 ],[-0.0125 0.0125 ],0.0177,[5.0000 -5.0000 ],7.0711,0.0025,1.0000,0.0100
2,9.8756,[-0.0125 0.0125 ],[-0.0124 0.0124 ],0.0175,[4.9500 -4.9500 ],7.0004,0.0025,1.0000,0.0100
3,9.7537,[-0.0249 0.0249 ],[-0.0123 0.0123 ],0.0173,[4.9005 -4.9005 ],6.9304,0.0025,1.0000,0.0100
4,9.6343,[-0.0371 0.0371 ],[-0.0121 0.0121 ],0.0172,[4.8515 -4.8515 ],6.8611,0.0025,1.0000,0.0100
5,9.5172,[-0.0493 0.0493 ],[-0.0120 0.0120 ],0.0170,[4.8030 -4.8030 ],6.7924,0.0025,1.0000,0.0100
6,9.4024,[-0.0613 0.0613 ],[-0.0119 0.0119 ],0.0168,[4.7550 -4.7550 ],6.7245,0.0025,1.0000,0.0100
7,9.2899,[-0.0731 0.0731 ],[-0.0118 0.0118 ],0.0166,[4.7074 -4.7074 ],6.6573,0.0025,1.0000,0.0100
8,9.1797,[-0.0849 0.0849 ],[-0.0117 0.0117 ],0.0165,[4.6603 -4.6603 ],6.5907,0.0025,1.0000,0.0100
9,9.0716,[-0.0966 0.0966 ],[-0.0115 0.0115 ],0.0163,[4.6137 -4.6137 ],6.5248,0.0025,1.0000,0.0100
10,8.9657,[-0.1081 0.1081 ],[-0.0114 0.0114 ],0.0161,[4.5676 -4.5676 ],6.4595,0.0025,1.0000,0.0100
11,8.8619,[-0.1195 0.1195 ],[-0.0113 0.0113 ],0.0160,[4.5219 -4.5219 ],6.3949,0.0025,1.0000,0.0100
12,8.7602,[-0.1308 0.1308 ],[-0.0112 0.0112 ],0.0158,[4.4767 -4.4767 ],6.3310,0.0025,1.0000,0.0100
13,8.6605,[-0.1420 0.1420 ],[-0.0111 0.0111 ],0.0157,[4.4319 -4.4319 ],6.2677,0.0025,1.0000,0.0100
14,8.5628,[-0.1531 0.1531 ],[-0.0110 0.0110 ],0.0155,[4.3876 -4.3876 ],6.2050,0.0025,1.0000,0.0100
15,8.4670,[-0.1641 0.1641 ],[-0.0109 0.0109 ],0.0154,[4.3437 -4.3437 ],6.1430,0.0025,1.0000,0.0100
16,8.3731,[-0.1749 0.1749 ],[-0.0108 0.0108 ],0.0152,[4.3003 -4.3003 ],6.0815,0.0025,1.0000,0.0100
17,8.2811,[-0.1857 0.1857 ],[-0.0106 0.0106 ],0.0151,[4.2573 -4.2573 ],6.0207,0.0025,1.0000,0.0100
18,8.1910,[-0.1963 0.1963 ],[-0.0105 0.0105 ],0.0149,[4.2147 -4.2147 ],5.9605,0.0025,1.0000,0.0100
19,8.1026,[-0.2069 0.2069 ],[-0.0104 0.0104 ],0.0148,[4.1726 -4.1726 ],5.9009,0.0025,1.0000,0.0100
20,8.0160,[-0.2173 0.2173 ],[-0.0103 0.0103 ],0.0146,[4.1308 -4.1308 ],5.8419,0.0025,1.0000,0.0100
21,7.9311,[-0.2276 0.2276 ],[-0.0102 0.0102 ],0.0145,[4.0895 -4.0895 ],5.7835,0.0025,1.0000,0.0100
22,7.8479,[-0.2378 0.2378 ],[-0.0101 0.0101 ],0.0143,[4.0486 -4.0486 ],5.7256,0.0025,1.0000,0.0100
23,7.7663,[-0.2480 0.2480 ],[-0.0100 0.0100 ],0.0142,[4.0082 -4.0082 ],5.6684,0.0025,1.0000,0.0100
24,7.6864,[-0.2580 0.2580 ],[-0.0099 0.0099 ],0.0140,[3.9681 -3.9681 ],5.6117,0.0025,1.0000,0.0100
25,7.6081,[-0.2679 0.2679 ],[-0.0098 0.0098 ],0.0139,[3.9284 -3.9284 ],5.5556,0.0025,1.0000,0.0100
26,7.5313,[-0.2777 0.2777 ],[-0.0097 0.0097 ],0.0138,[3.8891 -3.8891 ],5.5000,0.0025,1.0000,0.0100
27,7.4560,[-0.2874 0.2874 ],[-0.0096 0.0096 ],0.0136,[3.8502 -3.8502 ],5.4450,0.0025,1.0000,0.0100
28,7.3823,[-0.2971 0.2971 ],[-0.0095 0.0095 ],0.0135,[3.8117 -3.8117 ],5.3906,0.0025,1.0000,0.0100
29,7.3100,[-0.3066 0.3066 ],[-0.0094 0.0094 ],0.0133,[3.7736 -3.7736 ],5.3367,0.0025,1.0000,0.0100
30,7.2392,[-0.3160 0.3160 ],[-0.0093 0.0093 ],0.0132,[3.7359 -3.7359 ],5.2833,0.0025,1.0000,0.0100
31,7.1697,[-0.3254 0.3254 ],[-0.0092 0.0092 ],0.0131,[3.6985 -3.6985 ],5.2305,0.0025,1.0000,0.0100
32,7.1017,[-0.3346 0.3346 ],[-0.0092 0.0092 ],0.0129,[3.6615 -3.6615 ],5.1782,0.0025,1.0000,0.0100
33,7.0350,[-0.3438 0.3438 ],[-0.0091 0.0091 ],0.0128,[3.6249 -3.6249 ],5.1264,0.0025,1.0000,0.0100
34,6.9696,[-0.3528 0.3528 ],[-0.0090 0.0090 ],0.0127,[3.5887 -3.5887 ],5.0751,0.0025,1.0000,0.0100
35,6.9055,[-0.3618 0.3618 ],[-0.0089 0.0089 ],0.0126,[3.5528 -3.5528 ],5.0244,0.0025,1.0000,0.0100
36,6.8427,[-0.3707 0.3707 ],[-0.0088 0.0088 ],0.0124,[3.5172 -3.5172 ],4.9741,0.0025,1.0000,0.0100
37,6.7812,[-0.3795 0.3795 ],[-0.0087 0.0087 ],0.0123,[3.4821 -3.4821 ],4.9244,0.0025,1.0000,0.0100
38,6.7209,[-0.3882 0.3882 ],[-0.0086 0.0086 ],0.0122,[3.4472 -3.4472 ],4.8751,0.0025,1.0000,0.0100
