n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
40,-54.0014,[2.1026 -2.1363 ],[24.0446 -18.1494 ],30.1255,[-10.0823 12.9625 ],16.4219,0.0025,128.0000,0.0100
41,-55.1569,[2.1627 -2.1816 ],[6.1279 -16.4950 ],17.5964,[-6.1279 16.4950 ],17.5964,0.0025,128.0000,0.0100
42,-55.8425,[2.1780 -2.2229 ],[17.6390 -23.3684 ],29.2782,[-12.5979 9.7987 ],15.9600,0.0025,128.0000,0.0100
43,-56.9339,[2.2221 -2.2813 ],[16.0310 -5.9555 ],17.1015,[-16.0310 5.9555 ],17.1015,0.0025,128.0000,0.0100
44,-57.5814,[2.2622 -2.2962 ],[22.7111 -17.1429 ],28.4547,[-9.5232 12.2435 ],15.5111,0.0025,128.0000,0.0100
45,-58.6123,[2.3189 -2.3390 ],[5.7881 -15.5801 ],16.6205,[-5.7881 15.5801 ],16.6205,0.0025,128.0000,0.0100
46,-59.2240,[2.3334 -2.3780 ],[16.6607 -22.0723 ],27.6544,[-11.8992 9.2553 ],15.0748,0.0025,128.0000,0.0100
47,-60.1977,[2.3751 -2.4332 ],[15.1419 -5.6253 ],16.1530,[-15.1419 5.6253 ],16.1530,0.0025,128.0000,0.0100
48,-60.7754,[2.4129 -2.4472 ],[21.4515 -16.1921 ],26.8766,[-8.9950 11.5645 ],14.6508,0.0025,128.0000,0.0100
49,-61.6951,[2.4665 -2.4877 ],[5.4671 -14.7160 ],15.6987,[-5.4671 14.7160 ],15.6987,0.0025,128.0000,0.0100
50,-62.2408,[2.4802 -2.5245 ],[15.7367 -20.8482 ],26.1207,[-11.2392 8.7420 ],14.2387,0.0025,128.0000,0.0100
51,-63.1095,[2.5196 -2.5766 ],[14.3020 -5.3133 ],15.2571,[-14.3020 5.3133 ],15.2571,0.0025,128.0000,0.0100
52,-63.6249,[2.5553 -2.5899 ],[20.2618 -15.2941 ],25.3860,[-8.4961 10.9231 ],13.8383,0.0025,128.0000,0.0100
53,-64.4454,[2.6060 -2.6281 ],[5.1639 -13.8998 ],14.8280,[-5.1639 13.8998 ],14.8280,0.0025,128.0000,0.0100
54,-64.9323,[2.6189 -2.6629 ],[14.8639 -19.6919 ],24.6720,[-10.6158 8.2571 ],13.4490,0.0025,128.0000,0.0100
55,-65.7073,[2.6560 -2.7121 ],[13.5088 -5.0186 ],14.4109,[-13.5088 5.0186 ],14.4109,0.0025,128.0000,0.0100
56,-66.1671,[2.6898 -2.7247 ],[19.1380 -14.4458 ],23.9780,[-8.0249 10.3173 ],13.0708,0.0025,128.0000,0.0100
57,-66.8991,[2.7376 -2.7608 ],[4.8775 -13.1289 ],14.0056,[-4.8775 13.1289 ],14.0056,0.0025,128.0000,0.0100
58,-67.3334,[2.7498 -2.7936 ],[14.0395 -18.5997 ],23.3036,[-10.0271 7.7992 ],12.7031,0.0025,128.0000,0.0100
59,-68.0249,[2.7849 -2.8401 ],[12.7596 -4.7403 ],13.6117,[-12.7596 4.7403 ],13.6117,0.0025,128.0000,0.0100
60,-68.4351,[2.8168 -2.8519 ],[18.0766 -13.6447 ],22.6482,[-7.5798 9.7450 ],12.3458,0.0025,128.0000,0.0100
61,-69.0882,[2.8620 -2.8861 ],[4.6069 -12.4007 ],13.2288,[-4.6069 12.4007 ],13.2288,0.0025,128.0000,0.0100
62,-69.4757,[2.8735 -2.9171 ],[13.2609 -17.5681 ],22.0112,[-9.4709 7.3666 ],11.9986,0.0025,128.0000,0.0100
63,-70.0925,[2.9067 -2.9610 ],[12.0519 -4.4774 ],12.8567,[-12.0519 4.4774 ],12.8567,0.0025,128.0000,0.0100
64,-70.4585,[2.9368 -2.9722 ],[17.0740 -12.8879 ],21.3921,[-7.1594 9.2046 ],11.6611,0.0025,128.0000,0.0100
65,-71.0412,[2.9795 -3.0044 ],[4.3514 -11.7129 ],12.4951,[-4.3514 11.7129 ],12.4951,0.0025,128.0000,0.0100
66,-71.3869,[2.9904 -3.0337 ],[12.5254 -16.5938 ],20.7904,[-8.9457 6.9581 ],11.3331,0.0025,128.0000,0.0100
67,-71.9372,[3.0217 -3.0752 ],[11.3835 -4.2290 ],12.1437,[-11.3835 4.2290 ],12.1437,0.0025,128.0000,0.0100
68,-72.2637,[3.0502 -3.0857 ],[16.1271 -12.1731 ],20.2056,[-6.7624 8.6941 ],11.0144,0.0025,128.0000,0.0100
69,-72.7835,[3.0905 -3.1162 ],[4.1101 -11.0633 ],11.8021,[-4.1101 11.0633 ],11.8021,0.0025,128.0000,0.0100
70,-73.0919,[3.1008 -3.1438 ],[11.8307 -15.6735 ],19.6373,[-8.4495 6.5722 ],10.7046,0.0025,128.0000,0.0100
71,-73.5829,[3.1303 -3.1830 ],[10.7521 -3.9945 ],11.4702,[-10.7521 3.9945 ],11.4702,0.0025,128.0000,0.0100
72,-73.8742,[3.1572 -3.1930 ],[15.2326 -11.4980 ],19.0850,[-6.3873 8.2119 ],10.4035,0.0025,128.0000,0.0100
73,-74.3380,[3.1953 -3.2217 ],[3.8821 -10.4497 ],11.1475,[-3.8821 10.4497 ],11.1475,0.0025,128.0000,0.0100
74,-74.6131,[3.2050 -3.2479 ],[11.1746 -14.8042 ],18.5482,[-7.9809 6.2076 ],10.1109,0.0025,128.0000,0.0100
75,-75.0512,[3.2329 -3.2849 ],[10.1558 -3.7730 ],10.8340,[-10.1558 3.7730 ],10.8340,0.0025,128.0000,0.0100
76,-75.3110,[3.2583 -3.2943 ],[14.3878 -10.8603 ],18.0265,[-6.0330 7.7564 ],9.8265,0.0025,128.0000,0.0100
77,-75.7248,[3.2943 -3.3215 ],[3.6668 -9.8702 ],10.5293,[-3.6668 9.8702 ],10.5293,0.0025,128.0000,0.0100
78,-75.9703,[3.3035 -3.3461 ],[10.5548 -13.9831 ],17.5194,[-7.5383 5.8634 ],9.5501,0.0025,128.0000,0.0100
79,-76.3610,[3.3299 -3.3811 ],[9.5925 -3.5637 ],10.2331,[-9.5925 3.5637 ],10.2331,0.0025,128.0000,0.0100
80,-76.5929,[3.3538 -3.3900 ],[13.5898 -10.2579 ],17.0267,[-5.6984 7.3262 ],9.2815,0.0025,128.0000,0.0100
81,-76.9620,[3.3878 -3.4156 ],[3.4635 -9.3227 ],9.9453,[-3.4635 9.3227 ],9.9453,0.0025,128.0000,0.0100
82,-77.1810,[3.3965 -3.4389 ],[9.9694 -13.2076 ],16.5478,[-7.1202 5.5382 ],9.0204,0.0025,128.0000,0.0100
83,-77.5297,[3.4214 -3.4720 ],[9.0605 -3.3660 ],9.6656,[-9.0605 3.3660 ],9.6656,0.0025,128.0000,0.0100
84,-77.7365,[3.4440 -3.4804 ],[12.8361 -9.6890 ],16.0824,[-5.3824 6.9199 ],8.7667,0.0025,128.0000,0.0100
85,-78.0658,[3.4761 -3.5046 ],[3.2714 -8.8057 ],9.3937,[-3.2714 8.8057 ],9.3937,0.0025,128.0000,0.0100
86,-78.2612,[3.4843 -3.5266 ],[9.4165 -12.4751 ],15.6300,[-6.7253 5.2310 ],8.5201,0.0025,128.0000,0.0100
87,-78.5723,[3.5079 -3.5578 ],[8.5580 -3.1794 ],9.1295,[-8.5580 3.1794 ],9.1295,0.0025,128.0000,0.0100
88,-78.7568,[3.5292 -3.5658 ],[12.1242 -9.1516 ],15.1904,[-5.0839 6.5361 ],8.2805,0.0025,128.0000,0.0100
89,-79.0506,[3.5596 -3.5886 ],[3.0899 -8.3173 ],8.8727,[-3.0899 8.3173 ],8.8727,0.0025,128.0000,0.0100
90,-79.2249,[3.5673 -3.6094 ],[8.8942 -11.7832 ],14.7631,[-6.3523 4.9409 ],8.0476,0.0025,128.0000,0.0100
91,-79.5024,[3.5895 -3.6389 ],[8.0834 -3.0030 ],8.6232,[-8.0834 3.0030 ],8.6232,0.0025,128.0000,0.0100
92,-79.6670,[3.6097 -3.6464 ],[11.4517 -8.6441 ],14.3479,[-4.8019 6.1736 ],7.8212,0.0025,128.0000,0.0100
93,-79.9291,[3.6384 -3.6680 ],[2.9186 -7.8560 ],8.3806,[-2.9186 7.8560 ],8.3806,0.0025,128.0000,0.0100
94,-80.0847,[3.6457 -3.6876 ],[8.4009 -11.1296 ],13.9443,[-6.0000 4.6669 ],7.6013,0.0025,128.0000,0.0100
95,-80.3322,[3.6667 -3.7155 ],[7.6350 -2.8365 ],8.1449,[-7.6350 2.8365 ],8.1449,0.0025,128.0000,0.0100
96,-80.4791,[3.6857 -3.7226 ],[10.8166 -8.1646 ],13.5521,[-4.5356 5.8312 ],7.3875,0.0025,128.0000,0.0100
97,-80.7130,[3.7128 -3.7430 ],[2.7567 -7.4203 ],7.9158,[-2.7567 7.4203 ],7.9158,0.0025,128.0000,0.0100
98,-80.8517,[3.7197 -3.7615 ],[7.9350 -10.5124 ],13.1710,[-5.6672 4.4080 ],7.1797,0.0025,128.0000,0.0100
99,-81.0726,[3.7395 -3.7878 ],[7.2116 -2.6792 ],7.6932,[-7.2116 2.6792 ],7.6932,0.0025,128.0000,0.0100
100,-81.2036,[3.7575 -3.7945 ],[10.2167 -7.7118 ],12.8005,[-4.2840 5.5078 ],6.9777,0.0025,128.0000,0.0100
101,-81.4122,[3.7831 -3.8138 ],[2.6038 -7.0088 ],7.4768,[-2.6038 7.0088 ],7.4768,0.0025,128.0000,0.0100
102,-81.5360,[3.7896 -3.8313 ],[7.4949 -9.9293 ],12.4405,[-5.3529 4.1635 ],6.7815,0.0025,128.0000,0.0100
103,-81.7331,[3.8083 -3.8561 ],[6.8116 -2.5306 ],7.2665,[-6.8116 2.5306 ],7.2665,0.0025,128.0000,0.0100
104,-81.8500,[3.8254 -3.8625 ],[9.6501 -7.2841 ],12.0906,[-4.0464 5.2023 ],6.5907,0.0025,128.0000,0.0100
105,-82.0361,[3.8495 -3.8807 ],[2.4594 -6.6200 ],7.0621,[-2.4594 6.6200 ],7.0621,0.0025,128.0000,0.0100
106,-82.1465,[3.8556 -3.8972 ],[7.0792 -9.3786 ],11.7505,[-5.0560 3.9326 ],6.4054,0.0025,128.0000,0.0100
107,-82.3223,[3.8733 -3.9207 ],[6.4338 -2.3902 ],6.8635,[-6.4338 2.3902 ],6.8635,0.0025,128.0000,0.0100
108,-82.4266,[3.8894 -3.9266 ],[9.1148 -6.8801 ],11.4200,[-3.8220 4.9138 ],6.2252,0.0025,128.0000,0.0100
109,-82.5927,[3.9122 -3.9438 ],[2.3230 -6.2529 ],6.6704,[-2.3230 6.2529 ],6.6704,0.0025,128.0000,0.0100
110,-82.6912,[3.9180 -3.9595 ],[6.6866 -8.8585 ],11.0988,[-4.7756 3.7145 ],6.0501,0.0025,128.0000,0.0100
111,-82.8480,[3.9347 -3.9816 ],[6.0770 -2.2576 ],6.4828,[-6.0770 2.2576 ],6.4828,0.0025,128.0000,0.0100
112,-82.9411,[3.9499 -3.9873 ],[8.6093 -6.4985 ],10.7866,[-3.6100 4.6413 ],5.8799,0.0025,128.0000,0.0100
113,-83.0892,[3.9714 -4.0035 ],[2.1941 -5.9061 ],6.3005,[-2.1941 5.9061 ],6.3005,0.0025,128.0000,0.0100
114,-83.1771,[3.9769 -4.0183 ],[6.3157 -8.3672 ],10.4832,[-4.5107 3.5085 ],5.7146,0.0025,128.0000,0.0100
115,-83.3170,[3.9927 -4.0392 ],[5.7400 -2.1324 ],6.1233,[-5.7400 2.1324 ],6.1233,0.0025,128.0000,0.0100
116,-83.4001,[4.0071 -4.0445 ],[8.1318 -6.1381 ],10.1884,[-3.4098 4.3838 ],5.5538,0.0025,128.0000,0.0100
117,-83.5322,[4.0274 -4.0599 ],[2.0725 -5.5785 ],5.9510,[-2.0725 5.5785 ],5.9510,0.0025,128.0000,0.0100
118,-83.6106,[4.0326 -4.0738 ],[5.9655 -7.9031 ],9.9018,[-4.2605 3.3139 ],5.3976,0.0025,128.0000,0.0100
119,-83.7355,[4.0475 -4.0936 ],[5.4216 -2.0142 ],5.7837,[-5.4216 2.0142 ],5.7837,0.0025,128.0000,0.0100
120,-83.8095,[4.0610 -4.0986 ],[7.6808 -5.7977 ],9.6233,[-3.2207 4.1407 ],5.2458,0.0025,128.0000,0.0100
121,-83.9274,[4.0802 -4.1131 ],[1.9575 -5.2691 ],5.6210,[-1.9575 5.2691 ],5.6210,0.0025,128.0000,0.0100
122,-83.9974,[4.0851 -4.1263 ],[5.6346 -7.4648 ],9.3526,[-4.0242 3.1301 ],5.0983,0.0025,128.0000,0.0100
123,-84.1088,[4.0992 -4.1449 ],[5.1209 -1.9025 ],5.4629,[-5.1209 1.9025 ],5.4629,0.0025,128.0000,0.0100
124,-84.1748,[4.1120 -4.1497 ],[7.2548 -5.4761 ],9.0896,[-3.0421 3.9111 ],4.9549,0.0025,128.0000,0.0100
125,-84.2800,[4.1302 -4.1634 ],[1.8489 -4.9769 ],5.3092,[-1.8489 4.9769 ],5.3092,0.0025,128.0000,0.0100
126,-84.3425,[4.1348 -4.1758 ],[5.3221 -7.0508 ],8.8339,[-3.8011 2.9565 ],4.8155,0.0025,128.0000,0.0100
127,-84.4418,[4.1481 -4.1934 ],[4.8369 -1.7969 ],5.1599,[-4.8369 1.7969 ],5.1599,0.0025,128.0000,0.0100
128,-84.5008,[4.1602 -4.1979 ],[6.8525 -5.1724 ],8.5855,[-2.8734 3.6941 ],4.6801,0.0025,128.0000,0.0100
129,-84.5946,[4.1773 -4.2109 ],[1.7464 -4.7009 ],5.0148,[-1.7464 4.7009 ],5.0148,0.0025,128.0000,0.0100
130,-84.6503,[4.1817 -4.2226 ],[5.0269 -6.6597 ],8.3440,[-3.5902 2.7925 ],4.5484,0.0025,128.0000,0.0100
131,-84.7389,[4.1942 -4.2393 ],[4.5686 -1.6973 ],4.8737,[-4.5686 1.6973 ],4.8737,0.0025,128.0000,0.0100
132,-84.7915,[4.2057 -4.2435 ],[6.4724 -4.8855 ],8.1093,[-2.7140 3.4893 ],4.4205,0.0025,128.0000,0.0100
133,-84.8753,[4.2219 -4.2557 ],[1.6495 -4.4401 ],4.7366,[-1.6495 4.4401 ],4.7366,0.0025,128.0000,0.0100
134,-84.9249,[4.2260 -4.2668 ],[4.7481 -6.2904 ],7.8812,[-3.3911 2.6377 ],4.2962,0.0025,128.0000,0.0100
135,-85.0040,[4.2378 -4.2826 ],[4.3152 -1.6031 ],4.6034,[-4.3152 1.6031 ],4.6034,0.0025,128.0000,0.0100
136,-85.0509,[4.2486 -4.2866 ],[6.1134 -4.6146 ],7.6595,[-2.5635 3.2957 ],4.1753,0.0025,128.0000,0.0100
137,-85.1256,[4.2639 -4.2981 ],[1.5581 -4.1939 ],4.4739,[-1.5581 4.1939 ],4.4739,0.0025,128.0000,0.0100
138,-85.1700,[4.2678 -4.3086 ],[4.4848 -5.9415 ],7.4441,[-3.2030 2.4914 ],4.0579,0.0025,128.0000,0.0100
139,-85.2405,[4.2790 -4.3234 ],[4.0759 -1.5142 ],4.3481,[-4.0759 1.5142 ],4.3481,0.0025,128.0000,0.0100
140,-85.2824,[4.2892 -4.3272 ],[5.7744 -4.3586 ],7.2347,[-2.4213 3.1130 ],3.9437,0.0025,128.0000,0.0100
141,-85.3490,[4.3037 -4.3381 ],[1.4716 -3.9613 ],4.2258,[-1.4716 3.9613 ],4.2258,0.0025,128.0000,0.0100
142,-85.3886,[4.3073 -4.3480 ],[4.2360 -5.6120 ],7.0312,[-3.0254 2.3532 ],3.8328,0.0025,128.0000,0.0100
143,-85.4515,[4.3179 -4.3621 ],[3.8499 -1.4302 ],4.1069,[-3.8499 1.4302 ],4.1069,0.0025,128.0000,0.0100
144,-85.4888,[4.3275 -4.3656 ],[5.4541 -4.1169 ],6.8335,[-2.2870 2.9403 ],3.7250,0.0025,128.0000,0.0100
145,-85.5483,[4.3412 -4.3759 ],[1.3900 -3.7416 ],3.9914,[-1.3900 3.7416 ],3.9914,0.0025,128.0000,0.0100
146,-85.5836,[4.3447 -4.3853 ],[4.0011 -5.3007 ],6.6413,[-2.8576 2.2227 ],3.6202,0.0025,128.0000,0.0100
147,-85.6397,[4.3547 -4.3985 ],[3.6363 -1.3509 ],3.8792,[-3.6363 1.3509 ],3.8792,0.0025,128.0000,0.0100
148,-85.6731,[4.3637 -4.4019 ],[5.1516 -3.8886 ],6.4545,[-2.1602 2.7772 ],3.5184,0.0025,128.0000,0.0100
149,-85.7261,[4.3766 -4.4116 ],[1.3129 -3.5341 ],3.7701,[-1.3129 3.5341 ],3.7701,0.0025,128.0000,0.0100
150,-85.7576,[4.3799 -4.4205 ],[3.7792 -5.0067 ],6.2729,[-2.6991 2.0994 ],3.4195,0.0025,128.0000,0.0100
151,-85.8077,[4.3894 -4.4330 ],[3.4347 -1.2760 ],3.6640,[-3.4347 1.2760 ],3.6640,0.0025,128.0000,0.0100
152,-85.8374,[4.3979 -4.4362 ],[4.8659 -3.6729 ],6.0965,[-2.0404 2.6232 ],3.3233,0.0025,128.0000,0.0100
153,-85.8847,[4.4101 -4.4453 ],[1.2401 -3.3381 ],3.5610,[-1.2401 3.3381 ],3.5610,0.0025,128.0000,0.0100
154,-85.9128,[4.4132 -4.4537 ],[3.5696 -4.7290 ],5.9250,[-2.5494 1.9830 ],3.2298,0.0025,128.0000,0.0100
155,-85.9575,[4.4221 -4.4655 ],[3.2442 -1.2052 ],3.4608,[-3.2442 1.2052 ],3.4608,0.0025,128.0000,0.0100
156,-85.9840,[4.4302 -4.4685 ],[4.5960 -3.4692 ],5.7584,[-1.9272 2.4777 ],3.1390,0.0025,128.0000,0.0100
157,-86.0262,[4.4417 -4.4772 ],[1.1713 -3.1529 ],3.3635,[-1.1713 3.1529 ],3.3635,0.0025,128.0000,0.0100
158,-86.0513,[4.4447 -4.4851 ],[3.3716 -4.4668 ],5.5964,[-2.4080 1.8730 ],3.0507,0.0025,128.0000,0.0100
159,-86.0911,[4.4531 -4.4963 ],[3.0642 -1.1384 ],3.2689,[-3.0642 1.1384 ],3.2689,0.0025,128.0000,0.0100
160,-86.1148,[4.4608 -4.4991 ],[4.3411 -3.2768 ],5.4390,[-1.8203 2.3403 ],2.9649,0.0025,128.0000,0.0100
161,-86.1525,[4.4716 -4.5073 ],[1.1064 -2.9781 ],3.1769,[-1.1064 2.9781 ],3.1769,0.0025,128.0000,0.0100
162,-86.1748,[4.4744 -4.5147 ],[3.1846 -4.2190 ],5.2860,[-2.2745 1.7691 ],2.8815,0.0025,128.0000,0.0100
163,-86.2104,[4.4823 -4.5253 ],[2.8943 -1.0752 ],3.0876,[-2.8943 1.0752 ],3.0876,0.0025,128.0000,0.0100
164,-86.2315,[4.4896 -4.5280 ],[4.1004 -3.0950 ],5.1373,[-1.7193 2.2105 ],2.8004,0.0025,128.0000,0.0100
165,-86.2651,[4.4998 -4.5357 ],[1.0450 -2.8129 ],3.0007,[-1.0450 2.8129 ],3.0007,0.0025,128.0000,0.0100
166,-86.2850,[4.5024 -4.5427 ],[3.0080 -3.9850 ],4.9928,[-2.1483 1.6710 ],2.7217,0.0025,128.0000,0.0100
167,-86.3168,[4.5100 -4.5527 ],[2.7338 -1.0156 ],2.9163,[-2.7338 1.0156 ],2.9163,0.0025,128.0000,0.0100
168,-86.3356,[4.5168 -4.5552 ],[3.8729 -2.9234 ],4.8524,[-1.6240 2.0879 ],2.6451,0.0025,128.0000,0.0100
169,-86.3656,[4.5265 -4.5626 ],[0.9870 -2.6569 ],2.8343,[-0.9870 2.6569 ],2.8343,0.0025,128.0000,0.0100
170,-86.3834,[4.5289 -4.5692 ],[2.8412 -3.7640 ],4.7159,[-2.0292 1.5783 ],2.5707,0.0025,128.0000,0.0100
171,-86.4117,[4.5360 -4.5786 ],[2.5821 -0.9593 ],2.7546,[-2.5821 0.9593 ],2.7546,0.0025,128.0000,0.0100
172,-86.4285,[4.5425 -4.5810 ],[3.6581 -2.7613 ],4.5833,[-1.5339 1.9721 ],2.4984,0.0025,128.0000,0.0100
173,-86.4552,[4.5516 -4.5879 ],[0.9323 -2.5095 ],2.6771,[-0.9323 2.5095 ],2.6771,0.0025,128.0000,0.0100
174,-86.4711,[4.5540 -4.5942 ],[2.6836 -3.5552 ],4.4544,[-1.9166 1.4908 ],2.4281,0.0025,128.0000,0.0100
175,-86.4964,[4.5607 -4.6031 ],[2.4389 -0.9061 ],2.6018,[-2.4389 0.9061 ],2.6018,0.0025,128.0000,0.0100
176,-86.5114,[4.5668 -4.6053 ],[3.4553 -2.6081 ],4.3291,[-1.4488 1.8627 ],2.3598,0.0025,128.0000,0.0100
177,-86.5352,[4.5754 -4.6119 ],[0.8806 -2.3703 ],2.5286,[-0.8806 2.3703 ],2.5286,0.0025,128.0000,0.0100
178,-86.5494,[4.5776 -4.6178 ],[2.5348 -3.3581 ],4.2073,[-1.8103 1.4081 ],2.2935,0.0025,128.0000,0.0100
179,-86.5719,[4.5840 -4.6262 ],[2.3037 -0.8558 ],2.4575,[-2.3037 0.8558 ],2.4575,0.0025,128.0000,0.0100
180,-86.5853,[4.5897 -4.6283 ],[3.2636 -2.4635 ],4.0890,[-1.3685 1.7594 ],2.2290,0.0025,128.0000,0.0100
181,-86.6066,[4.5979 -4.6345 ],[0.8318 -2.2389 ],2.3884,[-0.8318 2.2389 ],2.3884,0.0025,128.0000,0.0100
182,-86.6192,[4.6000 -4.6401 ],[2.3942 -3.1718 ],3.9740,[-1.7099 1.3300 ],2.1663,0.0025,128.0000,0.0100
183,-86.6393,[4.6059 -4.6480 ],[2.1759 -0.8084 ],2.3212,[-2.1759 0.8084 ],2.3212,0.0025,128.0000,0.0100
184,-86.6512,[4.6114 -4.6500 ],[3.0826 -2.3268 ],3.8622,[-1.2926 1.6618 ],2.1053,0.0025,128.0000,0.0100
185,-86.6702,[4.6191 -4.6558 ],[0.7856 -2.1147 ],2.2559,[-0.7856 2.1147 ],2.2559,0.0025,128.0000,0.0100
