n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[10.0000 -30.0000 ],31.6228,[-10.0000 30.0000 ],31.6228,0.0025,128.0000,0.0100
2,10.8275,[0.0250 -0.0750 ],[30.4866 -41.0598 ],51.1404,[-22.5000 17.1000 ],28.2606,0.0025,128.0000,0.0100
3,7.4781,[0.1012 -0.1776 ],[28.8562 -10.0283 ],30.5491,[-28.8562 10.0283 ],30.5491,0.0025,128.0000,0.0100
4,5.4358,[0.1734 -0.2027 ],[40.0162 -29.8905 ],49.9473,[-16.7061 21.7896 ],27.4569,0.0025,128.0000,0.0100
5,2.2481,[0.2734 -0.2774 ],[9.9267 -27.8699 ],29.5850,[-9.9267 27.8699 ],29.5850,0.0025,128.0000,0.0100
6,0.3244,[0.2982 -0.3471 ],[29.2045 -38.9522 ],48.6845,[-21.1317 16.2870 ],26.6798,0.0025,128.0000,0.0100
7,-2.7000,[0.3712 -0.4445 ],[26.9806 -9.7565 ],28.6905,[-26.9806 9.7565 ],28.6905,0.0025,128.0000,0.0100
8,-4.5139,[0.4387 -0.4689 ],[37.8924 -28.4774 ],47.4004,[-15.8596 20.5101 ],25.9267,0.0025,128.0000,0.0100
9,-7.3786,[0.5334 -0.5401 ],[9.5492 -26.1568 ],27.8454,[-9.5492 26.1568 ],27.8454,0.0025,128.0000,0.0100
10,-9.0901,[0.5573 -0.6055 ],[27.7349 -36.8482 ],46.1196,[-19.9165 15.4325 ],25.1958,0.0025,128.0000,0.0100
11,-11.8008,[0.6266 -0.6976 ],[25.3806 -9.3226 ],27.0385,[-25.3806 9.3226 ],27.0385,0.0025,128.0000,0.0100
12,-13.4163,[0.6901 -0.7209 ],[35.8251 -26.9914 ],44.8551,[-15.0102 19.3459 ],24.4861,0.0025,128.0000,0.0100
13,-15.9794,[0.7796 -0.7884 ],[9.0867 -24.6412 ],26.2632,[-9.0867 24.6412 ],26.2632,0.0025,128.0000,0.0100
14,-17.5047,[0.8023 -0.8500 ],[26.2553 -34.8258 ],43.6139,[-18.7952 14.5955 ],23.7968,0.0025,128.0000,0.0100
15,-19.9275,[0.8680 -0.9371 ],[23.9320 -8.8479 ],25.5152,[-23.9320 8.8479 ],25.5152,0.0025,128.0000,0.0100
16,-21.3677,[0.9278 -0.9592 ],[33.8514 -25.5315 ],42.4002,[-14.1897 18.2624 ],23.1271,0.0025,128.0000,0.0100
17,-23.6573,[1.0124 -1.0230 ],[8.6096 -23.2486 ],24.7916,[-8.6096 23.2486 ],24.7916,0.0025,128.0000,0.0100
18,-25.0174,[1.0340 -1.0811 ],[24.8227 -32.9026 ],41.2159,[-17.7461 13.7935 ],22.4763,0.0025,128.0000,0.0100
19,-27.1806,[1.0960 -1.1634 ],[22.5882 -8.3742 ],24.0905,[-22.5882 8.3742 ],24.0905,0.0025,128.0000,0.0100
20,-28.4651,[1.1525 -1.1843 ],[31.9792 -24.1304 ],40.0618,[-13.4075 17.2453 ],21.8440,0.0025,128.0000,0.0100
21,-30.5088,[1.2324 -1.2446 ],[8.1429 -21.9487 ],23.4105,[-8.1429 21.9487 ],23.4105,0.0025,128.0000,0.0100
22,-31.7220,[1.2528 -1.2995 ],[23.4555 -31.0811 ],38.9383,[-16.7592 13.0316 ],21.2295,0.0025,128.0000,0.0100
23,-33.6526,[1.3114 -1.3772 ],[21.3287 -7.9166 ],22.7506,[-21.3287 7.9166 ],22.7506,0.0025,128.0000,0.0100
24,-34.7984,[1.3648 -1.3970 ],[30.2077 -22.7982 ],37.8453,[-12.6658 16.2871 ],20.6323,0.0025,128.0000,0.0100
25,-36.6221,[1.4403 -1.4540 ],[7.6957 -20.7271 ],22.1097,[-7.6957 20.7271 ],22.1097,0.0025,128.0000,0.0100
26,-37.7043,[1.4595 -1.5058 ],[22.1585 -29.3586 ],36.7822,[-15.8286 12.3101 ],20.0520,0.0025,128.0000,0.0100
27,-39.4270,[1.5149 -1.5792 ],[20.1431 -7.4804 ],21.4872,[-20.1431 7.4804 ],21.4872,0.0025,128.0000,0.0100
28,-40.4492,[1.5653 -1.5979 ],[28.5332 -21.5362 ],35.7485,[-11.9642 15.3831 ],19.4879,0.0025,128.0000,0.0100
29,-42.0763,[1.6366 -1.6518 ],[7.2707 -19.5758 ],20.8824,[-7.2707 19.5758 ],20.8824,0.0025,128.0000,0.0100
30,-43.0418,[1.6548 -1.7007 ],[20.9311 -27.7309 ],34.7435,[-14.9502 11.6278 ],18.9398,0.0025,128.0000,0.0100
31,-44.5787,[1.7071 -1.7700 ],[19.0248 -7.0667 ],20.2948,[-19.0248 7.0667 ],20.2948,0.0025,128.0000,0.0100
32,-45.4907,[1.7547 -1.7877 ],[26.9511 -20.3428 ],33.7667,[-11.3009 14.5296 ],18.4071,0.0025,128.0000,0.0100
33,-46.9424,[1.8221 -1.8385 ],[6.8682 -18.4894 ],19.7239,[-6.8682 18.4894 ],19.7239,0.0025,128.0000,0.0100
34,-47.8038,[1.8392 -1.8848 ],[19.7709 -26.1931 ],32.8172,[-14.1209 10.9831 ],17.8893,0.0025,128.0000,0.0100
35,-49.1750,[1.8887 -1.9503 ],[17.9692 -6.6752 ],19.1690,[-17.9692 6.6752 ],19.1690,0.0025,128.0000,0.0100
36,-49.9886,[1.9336 -1.9669 ],[25.4565 -19.2149 ],31.8943,[-10.6743 13.7237 ],17.3862,0.0025,128.0000,0.0100
37,-51.2837,[1.9972 -2.0150 ],[6.4876 -17.4637 ],18.6298,[-6.4876 17.4637 ],18.6298,0.0025,128.0000,0.0100
38,-52.0522,[2.0134 -2.0586 ],[18.6746 -24.7405 ],30.9973,[-13.3376 10.3741 ],16.8972,0.0025,128.0000,0.0100
39,-53.2756,[2.0601 -2.1205 ],[16.9724 -6.3052 ],18.1057,[-16.9724 6.3052 ],18.1057,0.0025,128.0000,0.0100
